FE,Fitness
1000,2104924
2000,2104924
3000,2104924
4000,2104924
5000,2104924
6000,2104924
7000,2104924
8000,2104924
9000,2104924
10000,2104924
11000,2104924
12000,2104924
13000,2104924
14000,2104924
15000,2104924
16000,2104924
17000,2104924
18000,2104924
19000,2104924
20000,2104924
21000,2104924
22000,2104924
23000,2104924
24000,2104924
25000,2104924
26000,2104924
27000,2104924
28000,2104924
29000,2104924
30000,2104924
31000,2104924
32000,2104924
33000,2104924
34000,2104924
35000,2104924
36000,2104924
37000,2104924
38000,2104924
39000,2104924
40000,2104924
41000,2104924
42000,2104924
43000,2104924
44000,2103868
45000,2103868
46000,2103868
47000,2103868
48000,2103868
49000,2103868
50000,2103868
51000,2103868
52000,2103868
53000,2103868
54000,2103868
55000,2103868
56000,2103868
57000,2103868
58000,2103868
59000,2103868
60000,2103868
61000,2103868
62000,2103868
63000,2103868
64000,2103868
65000,2103868
66000,2103868
67000,2103868
68000,2103868
69000,2103868
70000,2103868
71000,2103868
72000,2103868
73000,2103868
74000,2103868
75000,2103868
76000,2103868
77000,2103868
78000,2103868
79000,2103868
80000,2103868
81000,2103868
82000,2103868
83000,2103868
84000,2103868
85000,2103868
86000,2103868
87000,2103868
