Problem,Run 1
tai15a,390374
tai15a,391942
tai15a,420594
tai15a,408740
tai15a,412430
tai15a,419004
tai15a,425106
tai15a,416618
tai15a,403996
tai80a,15317980
tai15a,423444,423444
tai15a,433516,433516
tai15a,446692,443806
tai30a,2104924,2103868
tai15a,436570,436570
tai15a,428128,428128
tai80a,15351958,15351958
tai80a,15306298,15293566
tai80a,15289080,15349094
