FE,Run 1,Run 2,Run 3,Run 4,Run 5,Run 6,Run 7,Run 8,Run 9,Run 10,Run 11,Run 12,Run 13,Run 14,Run 15,Run 16,Run 17,Run 18,Run 19,Run 20,Run 21,Run 22,Run 23,Run 24,Run 25
100,8414564,8301396,8356094,8339178,8357220,8309638,8284320,8358088,8304284,8310500,8358002,8345592,8270598,8333446,8312316,8296184,8295746,8314758,8383346,8335332,8312188,8383586,8352972,8378128,8334352
200,8315786,8275372,8278002,8314844,8316500,8295218,8218584,8309970,8297648,8310500,8336138,8314318,8247416,8302796,8312316,8279594,8295746,8295960,8282492,8308110,8295104,8349418,8306968,8319336,8268722
300,8287212,8214668,8270936,8254300,8272968,8289858,8148730,8282526,8290130,8278290,8262206,8232092,8247416,8298330,8267882,8235570,8295746,8228278,8257610,8302886,8271066,8242456,8306968,8295452,8243188
400,8189240,8214668,8224994,8254300,8204608,8289858,8148730,8231146,8250790,8278290,8219314,8232092,8247416,8273290,8252610,8235570,8295746,8199034,8255358,8283938,8271066,8204674,8306968,8286122,8243188
500,8189240,8199620,8222106,8226994,8204608,8252068,8140710,8218096,8227274,8278290,8151724,8232092,8247416,8273290,8185108,8192270,8284758,8192600,8206348,8283938,8260780,8184498,8306968,8252410,8243188
600,8189240,8199100,8171022,8226994,8184732,8235922,8140710,8200824,8219398,8278290,8151724,8232092,8247416,8273290,8104972,8185050,8251136,8192600,8204990,8283938,8260780,8184498,8306968,8252410,8242208
700,8189240,8141360,8171022,8142044,8184732,8235922,8140710,8126558,8209278,8278290,8151724,8230250,8247416,8273290,8092960,8168724,8251136,8192600,8204990,8283938,8260780,8184498,8306968,8233370,8242208
800,8189240,8141360,8171022,8142044,8184732,8235922,8140710,8126558,8209278,8278290,8151724,8230250,8247416,8273290,8092960,8161864,8251136,8188432,8204990,8283938,8260780,8184498,8306968,8233370,8242208
900,8189240,8141360,8171022,8142044,8184732,8235922,8140710,8126226,8207214,8278290,8151724,8179926,8247416,8273290,8088294,8161864,8251136,8188432,8204990,8283938,8260780,8184498,8306968,8221314,8227674
1000,8189240,8141360,8171022,8142044,8184732,8235922,8140710,8118842,8207214,8278290,8151724,8179926,8247416,8273290,8088294,8161864,8251136,8188432,8204990,8283938,8244296,8184498,8306968,8221314,8210752
1100,8162746,8141360,8171022,8142044,8184732,8235922,8140710,8118842,8207214,8278290,8151724,8179926,8247416,8273290,8088294,8161864,8251136,8188432,8204990,8283938,8244296,8173406,8271118,8221314,8210752
1200,8162746,8141360,8171022,8142044,8184732,8235922,8140710,8118842,8207214,8242394,8151724,8179926,8247416,8261872,8088294,8161864,8251136,8188432,8204990,8283938,8244296,8173406,8271118,8217090,8210752
1300,8162746,8141360,8171022,8135394,8184732,8235868,8140710,8118842,8207214,8242394,8151724,8179926,8247416,8261872,8088294,8161864,8251136,8188432,8204990,8283938,8238870,8173406,8271118,8217090,8210752
1400,8162746,8141360,8152402,8135394,8184732,8235868,8140710,8118842,8207214,8242394,8151724,8179926,8247416,8248686,8088294,8161864,8251136,8188432,8204990,8283938,8205708,8173406,8271118,8217090,8210752
1500,8162746,8141360,8152402,8135394,8184732,8235868,8140710,8118842,8207214,8242394,8151724,8179926,8247416,8248686,8068070,8161864,8251136,8188432,8204990,8283938,8205708,8173406,8251340,8217090,8210752
1600,8162746,8112478,8152402,8135394,8184732,8235868,8140710,8118842,8207214,8242394,8151724,8179926,8247416,8248686,8068070,8161864,8251136,8188432,8204990,8283938,8205708,8173406,8251340,8217090,8210752
1700,8162746,8112478,8152402,8135394,8184732,8235868,8140710,8118842,8193522,8242394,8151724,8179926,8247416,8248686,8068070,8161864,8251136,8161732,8204990,8283938,8205708,8173406,8251340,8217090,8210752
1800,8162746,8112478,8152402,8135394,8184732,8235868,8140710,8118842,8193522,8242394,8151724,8179926,8247416,8240494,8068070,8161864,8251136,8161732,8204990,8283938,8183472,8173406,8251340,8217090,8210752
1900,8162746,8112478,8152402,8135394,8184732,8235868,8140710,8118842,8193522,8242394,8151724,8179926,8247416,8227012,8068070,8161864,8251136,8161732,8204990,8283938,8183472,8161926,8251340,8217090,8210752
2000,8162746,8112478,8152402,8135394,8184732,8235760,8140710,8118842,8193522,8242394,8151724,8179926,8247416,8227012,8068070,8161864,8251136,8161732,8204990,8275768,8183472,8132086,8251340,8217090,8210752
2100,8162746,8112478,8152402,8135394,8184732,8235760,8140710,8118842,8193522,8242394,8151724,8179926,8233412,8227012,8068070,8161864,8251136,8161732,8204990,8275768,8183472,8132086,8251340,8217090,8210752
2200,8162746,8112478,8152402,8135394,8184732,8235760,8140710,8118842,8193522,8242394,8151724,8179926,8230566,8227012,8068070,8161864,8251136,8161732,8204990,8275768,8183472,8132086,8251340,8217090,8210752
2300,8162746,8112478,8152402,8135394,8173006,8235760,8140710,8118842,8193522,8242394,8151724,8179926,8225442,8210334,8052294,8161864,8251136,8161732,8204990,8275768,8183472,8130658,8251340,8217090,8210752
2400,8162746,8112478,8152402,8135394,8173006,8235760,8132950,8118842,8193522,8213222,8151724,8179926,8215824,8209210,8052294,8161864,8251136,8161732,8204990,8275768,8183472,8130658,8251340,8217090,8210752
2500,8162746,8112478,8145120,8134868,8173006,8235760,8132950,8118842,8193522,8213222,8151724,8179926,8210038,8209210,8052294,8161864,8251136,8160598,8204990,8247886,8183472,8130658,8251340,8217090,8210752
2600,8135998,8112478,8145120,8134868,8173006,8235760,8132950,8118842,8193522,8193378,8151724,8179926,8210038,8209210,8052294,8161864,8251136,8160598,8204990,8247886,8183472,8130658,8251340,8204388,8210752
2700,8135998,8112478,8145120,8134868,8173006,8194990,8132950,8118842,8193522,8193378,8151724,8179926,8208024,8209210,8052294,8152558,8251136,8160598,8204990,8247886,8183472,8130658,8251340,8204388,8210752
2800,8135998,8112478,8145120,8134868,8173006,8194990,8132950,8118842,8193522,8193378,8151724,8179926,8208024,8209210,8052294,8152558,8230350,8160598,8204990,8247886,8183472,8130658,8251340,8204388,8210752
2900,8135998,8112478,8145120,8134868,8173006,8194990,8132950,8118842,8193522,8193378,8151724,8179926,8208024,8209210,8052294,8148524,8230350,8160598,8204990,8247886,8183472,8130658,8251340,8204388,8210752
3000,8135998,8112478,8145120,8134868,8173006,8194990,8132950,8118842,8193522,8193378,8136722,8179926,8208024,8209210,8052294,8148524,8230350,8160598,8204990,8247886,8183472,8130658,8251340,8204388,8210752
3100,8135998,8112478,8145120,8134868,8173006,8194990,8132950,8118842,8193522,8193378,8132252,8179926,8208024,8209210,8052294,8148524,8230350,8160598,8204990,8247886,8183472,8130658,8251340,8204388,8210752
3200,8126572,8112478,8119564,8134868,8173006,8194990,8132950,8103908,8193522,8193378,8132252,8179926,8208024,8157402,8052294,8148524,8230350,8160598,8204990,8247886,8183472,8130658,8251340,8200220,8210752
3300,8126572,8112478,8119564,8134868,8173006,8194990,8132950,8103908,8193522,8193378,8076876,8179926,8208024,8157402,8052294,8148524,8230350,8160598,8204990,8247886,8183472,8130658,8251340,8200220,8210752
3400,8126572,8112478,8119564,8134868,8157890,8194990,8132950,8103908,8193522,8193378,8076876,8179926,8208024,8157402,8052294,8148524,8230350,8160598,8204990,8247886,8159314,8130658,8251340,8200220,8210752
3500,8126572,8112478,8119564,8106112,8157890,8194990,8132950,8103908,8193522,8193378,8076876,8179926,8208024,8157402,8052294,8148524,8230350,8160598,8204990,8247886,8159314,8125636,8251340,8200220,8210752
3600,8126572,8102196,8119564,8106112,8157890,8194990,8132950,8103908,8193522,8193378,8076876,8179926,8208024,8157402,8052294,8148524,8230350,8144178,8204990,8247886,8159314,8125636,8251340,8200220,8210752
3700,8126572,8102196,8119564,8106112,8157890,8194990,8132950,8103908,8193522,8193378,8076876,8179926,8208024,8157402,8052294,8148524,8230350,8144178,8204990,8247886,8159314,8125636,8251340,8200220,8210752
