FE,Run 1,Run 2,Run 3,Run 4,Run 5,Run 6,Run 7,Run 8,Run 9,Run 10,Run 11,Run 12,Run 13,Run 14,Run 15,Run 16,Run 17,Run 18,Run 19,Run 20,Run 21,Run 22,Run 23,Run 24,Run 25
100,8325430,8326854,8297776,8342904,8400442,8384512,8385640,8350950,8366934,8385920,8337404,8294170,8316628,8353166,8322896,8322626,8336710,8363840,8301798,8354130,8341082,8350092,8305438,8282026,8383966
200,8325430,8326854,8297776,8342904,8297052,8366576,8350408,8323204,8320640,8282568,8294470,8294170,8316628,8331400,8322896,8322626,8336710,8281416,8301798,8273836,8308314,8260250,8305438,8258282,8321848
300,8325430,8253468,8297776,8333680,8297052,8325020,8350408,8323204,8320640,8282568,8284092,8294170,8258896,8299398,8245166,8316110,8277632,8281416,8301798,8273836,8308314,8253536,8305438,8258282,8286010
400,8325430,8253468,8297776,8303860,8297052,8323124,8350408,8309162,8320640,8282568,8284092,8294170,8240282,8299398,8245166,8251180,8277632,8281416,8301798,8273836,8308314,8253536,8305438,8240598,8286010
500,8325430,8223812,8297776,8265508,8297052,8323124,8309230,8309162,8318274,8282568,8261708,8294170,8240282,8299398,8245166,8251180,8277632,8281416,8301798,8273836,8308314,8253536,8305438,8240598,8286010
600,8325430,8223812,8297776,8265508,8297052,8323124,8309230,8309162,8318274,8253832,8261708,8294170,8240282,8299398,8245166,8251180,8277632,8281416,8301798,8273836,8256346,8253536,8305438,8240598,8286010
700,8325430,8223812,8297776,8265508,8297052,8323124,8309230,8264186,8317276,8253832,8261708,8252474,8215546,8299398,8245166,8251180,8277632,8281416,8301798,8273836,8256346,8203508,8266050,8240598,8286010
800,8325430,8223812,8277196,8265508,8297052,8323124,8309230,8264186,8317276,8253832,8261708,8252474,8215546,8299398,8245166,8251180,8277632,8281416,8301798,8273836,8256346,8203508,8266050,8240598,8286010
900,8265056,8223812,8277196,8265508,8279754,8323124,8302064,8264186,8317276,8253832,8261708,8252474,8215546,8273412,8245166,8251180,8277632,8281416,8294664,8273836,8256346,8203508,8266050,8240598,8286010
1000,8265056,8223812,8277196,8265508,8279754,8323124,8302064,8259768,8317276,8239014,8261708,8252474,8215546,8273412,8245166,8251180,8274570,8281416,8294664,8273836,8256346,8203508,8266050,8240598,8286010
1100,8265056,8223812,8277196,8265508,8279754,8323124,8302064,8259768,8311528,8239014,8261708,8252474,8215546,8273412,8245166,8251180,8274570,8281416,8294664,8273836,8256346,8203508,8266050,8240598,8286010
1200,8265056,8223812,8277196,8265508,8279754,8323124,8302064,8259768,8311528,8239014,8261708,8252474,8215546,8273412,8245166,8251180,8274570,8281416,8294664,8273836,8256346,8189920,8266050,8240598,8286010
1300,8265056,8223812,8277196,8265508,8279754,8323124,8273626,8259768,8311528,8239014,8261708,8252474,8215546,8273412,8245166,8251180,8274570,8281416,8294664,8273836,8256346,8165462,8266050,8240598,8286010
1400,8229074,8223812,8277196,8265508,8279754,8323124,8238106,8259768,8311528,8239014,8261708,8252474,8215546,8273412,8245166,8251180,8274570,8281416,8294664,8273836,8256346,8144670,8266050,8240598,8272218
1500,8229074,8223812,8265750,8265508,8279754,8292598,8191748,8259768,8308584,8239014,8261708,8252474,8215546,8273412,8245166,8251180,8274570,8281416,8294664,8273836,8256346,8138794,8266050,8240598,8272218
1600,8229074,8223812,8265750,8265508,8279754,8292598,8191748,8259768,8308584,8239014,8261708,8252474,8215546,8273412,8245166,8251180,8274570,8281416,8294664,8273836,8256346,8138794,8266050,8240598,8272218
1700,8229074,8223812,8265750,8265508,8279754,8292598,8191748,8259768,8301482,8239014,8261708,8252474,8215546,8273412,8245166,8251180,8274570,8281416,8271984,8273836,8256346,8138794,8266050,8240598,8272218
1800,8229074,8223812,8265750,8265508,8275082,8292598,8191748,8259768,8301482,8239014,8261708,8252474,8215546,8273412,8245166,8251180,8274570,8281416,8271984,8273836,8256346,8138794,8266050,8240598,8272218
1900,8229074,8223812,8265750,8265508,8275082,8292598,8191748,8259768,8301482,8239014,8261708,8252474,8215546,8273412,8245166,8251180,8274570,8281416,8271984,8273836,8256346,8138794,8266050,8240598,8272218
2000,8229074,8223812,8265750,8265508,8271378,8292598,8191748,8259768,8301482,8239014,8261708,8233850,8215546,8273412,8245166,8251180,8274570,8281416,8271984,8273836,8215178,8138794,8266050,8240598,8272218
2100,8229074,8223812,8265750,8265508,8271378,8292598,8191748,8259768,8301482,8239014,8261708,8233850,8215546,8273412,8245166,8251180,8274570,8281416,8271984,8273836,8215178,8138794,8266050,8240598,8253082
2200,8229074,8223812,8265750,8265508,8271378,8292598,8191748,8259768,8294640,8239014,8261708,8233850,8215546,8273412,8245166,8210366,8268154,8281416,8271984,8273836,8215178,8138794,8266050,8240598,8253082
2300,8229074,8223812,8265750,8265508,8255620,8292598,8191748,8259768,8294640,8239014,8261708,8218988,8215546,8273412,8245166,8210366,8268154,8281416,8271984,8273836,8215178,8138794,8266050,8240598,8253082
2400,8201126,8223812,8265750,8265508,8255620,8266546,8191748,8259768,8294640,8239014,8261708,8218988,8215546,8273412,8245166,8210366,8268154,8278962,8271984,8273836,8215178,8138794,8266050,8240598,8253082
2500,8167776,8223812,8265750,8265508,8255620,8266546,8191748,8235226,8294640,8239014,8257160,8166526,8215546,8273412,8225298,8210366,8268154,8278962,8271984,8273836,8215178,8138794,8266050,8240598,8253082
2600,8167776,8223812,8265750,8265508,8255620,8266546,8191748,8235226,8255870,8239014,8257160,8166526,8215546,8273412,8211716,8210366,8254992,8278962,8239790,8273836,8215178,8138794,8266050,8240598,8253082
2700,8167776,8223812,8265750,8265508,8255620,8266546,8191748,8235226,8255870,8239014,8257160,8166526,8215546,8273412,8211716,8210366,8254992,8274646,8239790,8273836,8215178,8127174,8266050,8240598,8253082
2800,8167776,8223812,8265750,8265508,8255620,8266546,8191748,8235226,8255870,8239014,8257160,8166526,8168402,8273412,8211716,8210366,8254992,8256544,8239790,8273836,8215178,8127174,8266050,8240598,8253082
2900,8167776,8223812,8244410,8265508,8255620,8266546,8191748,8235226,8255870,8239014,8257160,8145622,8168402,8273412,8211716,8210366,8254992,8230562,8239790,8273836,8215178,8127174,8266050,8240598,8253082
3000,8167776,8223812,8244410,8265508,8255620,8266546,8191748,8235226,8255870,8239014,8257160,8145622,8168402,8273412,8211716,8210366,8254992,8230562,8239790,8273836,8215178,8127174,8266050,8240598,8253082
3100,8167776,8223812,8244410,8265508,8255620,8266546,8191748,8235226,8254964,8239014,8257160,8125144,8168402,8273412,8211716,8210366,8254992,8230562,8239790,8273836,8215178,8127174,8266050,8240598,8253082
3200,8167776,8223812,8244410,8264102,8255620,8266546,8191748,8235226,8254964,8239014,8257160,8125144,8168402,8273412,8211716,8210366,8254992,8230562,8239790,8273836,8215178,8127174,8248594,8240598,8253082
3300,8167776,8223812,8244410,8264102,8255620,8266546,8191748,8235226,8254964,8239014,8257160,8112526,8153286,8273412,8211716,8210366,8254992,8230562,8239790,8273836,8208930,8127174,8248594,8240598,8253082
3400,8167776,8223812,8244410,8264102,8255620,8266546,8191748,8235226,8254964,8222092,8233098,8112526,8153286,8273412,8211716,8210366,8254992,8230562,8239790,8273836,8208930,8127174,8248594,8240598,8253082
3500,8167776,8223812,8244410,8264102,8255620,8266546,8191748,8235226,8254964,8215046,8233098,8112526,8153286,8273412,8205356,8210366,8254992,8230562,8239790,8273836,8208930,8120466,8248594,8240598,8253082
3600,8167776,8223812,8244410,8264102,8255620,8266546,8191748,8235226,8254964,8178624,8233098,8112526,8153286,8273412,8205356,8210366,8254992,8230562,8239790,8273836,8208930,8120466,8248594,8240598,8232330
3700,8167776,8223812,8244410,8264102,8255620,8266546,8191748,8235226,8253690,8178624,8233098,8112526,8153286,8273412,8205356,8210366,8254992,8230562,8239790,8273836,8208930,8120466,8248594,8240598,8232330
3800,8167776,8223812,8244410,8264102,8255620,8266546,8191748,8235226,8253690,8158920,8233098,8112526,8153286,8273412,8196756,8210366,8251396,8230562,8239790,8273836,8208930,8104196,8248594,8240598,8232330
3900,8167776,8223812,8244410,8264102,8255620,8266546,8191748,8235226,8253690,8158920,8233098,8112526,8153286,8273412,8190860,8210366,8251396,8220280,8239790,8273836,8208930,8104196,8248594,8240598,8232330
4000,8167776,8223812,8244410,8264102,8255620,8263866,8191748,8235226,8250942,8158920,8233098,8107104,8153286,8273412,8190860,8210366,8251396,8220280,8239790,8273836,8208930,8104196,8248594,8240598,8232330
4100,8167776,8223812,8244410,8264102,8255620,8263866,8191748,8198992,8250762,8158920,8233098,8107104,8153286,8273412,8190860,8210366,8251396,8220280,8239790,8273836,8208930,8104196,8248594,8240598,8232330
4200,8167776,8223812,8244410,8264102,8255620,8263866,8191748,8198992,8250762,8158920,8233098,8107104,8153286,8273412,8190860,8187246,8251396,8220280,8239790,8273836,8208930,8104196,8248594,8240598,8232330
4300,8167776,8223812,8244410,8264102,8255620,8263866,8191748,8198992,8247810,8158920,8233098,8107104,8153286,8273412,8190860,8187246,8251396,8220280,8239790,8273836,8208930,8104196,8248594,8240598,8232330
4400,8167776,8223812,8244410,8264102,8255620,8263866,8191748,8198992,8238648,8158920,8233098,8107104,8153286,8273412,8190860,8187246,8251396,8220280,8239790,8273836,8208930,8104196,8248594,8240598,8232330
4500,8167776,8223812,8244410,8264102,8255620,8210248,8191748,8198992,8238648,8158920,8233098,8107104,8153286,8273412,8190860,8187246,8251396,8220280,8239790,8273836,8208930,8104196,8248594,8240598,8232330
4600,8167776,8223812,8243314,8264102,8255620,8210248,8191748,8198992,8238648,8158920,8233098,8107104,8148474,8273412,8190860,8172418,8251396,8220280,8239790,8273836,8208930,8104196,8248594,8240598,8204516
4700,8167776,8223812,8243314,8264102,8255620,8210248,8191748,8198992,8232238,8158920,8225396,8107104,8148474,8273412,8190860,8172418,8251396,8220280,8239790,8273836,8208930,8095774,8248594,8240598,8204516
4800,8167776,8223812,8243314,8264102,8255620,8210248,8191748,8198992,8232238,8158920,8209490,8107104,8148474,8273412,8190860,8172418,8251396,8220280,8239790,8273836,8208930,8086670,8248594,8240598,8204516
4900,8167776,8223812,8243314,8264102,8255620,8210248,8191748,8198992,8232238,8158920,8209490,8107104,8148474,8273412,8190860,8172418,8251396,8220280,8239790,8273836,8208930,8086670,8248594,8240598,8204516
5000,8167776,8223812,8243314,8264102,8255620,8179838,8191748,8198992,8232238,8158920,8209490,8107104,8148474,8273412,8190860,8172418,8251396,8173920,8239790,8273836,8208930,8062788,8248594,8240598,8204516
5100,8167776,8223812,8243314,8264102,8250332,8179838,8191748,8198992,8232238,8158920,8209490,8107104,8148474,8242462,8190860,8172418,8251396,8173920,8239790,8273836,8208930,8058900,8248594,8240598,8204516
5200,8167776,8223812,8243314,8264102,8250332,8179838,8191748,8198992,8232238,8158920,8209490,8107104,8148474,8239054,8189240,8172418,8251396,8171540,8239790,8273836,8208930,8058900,8248594,8240598,8204516
5300,8167776,8223812,8243314,8264102,8250332,8179838,8191748,8198992,8232238,8158920,8209490,8107104,8148474,8239054,8189240,8172418,8251396,8171540,8239790,8273836,8208930,8058900,8248594,8240598,8204516
5400,8167776,8223812,8243314,8264102,8250332,8179838,8191748,8198992,8232238,8152526,8209490,8107104,8148474,8239054,8189240,8172418,8251396,8171540,8239790,8273836,8208930,8058900,8248594,8240598,8204516
5500,8167776,8223812,8243314,8264102,8250332,8179838,8191748,8198992,8232238,8143932,8209490,8107104,8148474,8239054,8189240,8172418,8251396,8171540,8239790,8273836,8208930,8058900,8248594,8240598,8204516
5600,8167776,8223812,8243314,8208178,8250332,8179838,8191748,8198992,8232238,8143932,8209490,8107104,8148474,8239054,8189240,8172418,8251396,8171540,8239790,8273836,8208930,8058900,8248594,8240598,8204516
