Problem,Run 1,Run 2,Run 3,Run 4,Run 5,Run 6,Run 7,Run 8,Run 9,Run 10,Run 11,Run 12,Run 13,Run 14,Run 15,Run 16,Run 17,Run 18,Run 19,Run 20,Run 21,Run 22,Run 23,Run 24,Run 25
tai15a,422870,404172,409580,416356,415956,415392,424066,413590,412868,415134,413358,414280,424514,409816,401976,413470,410124,417552,414684,412430,412422,414420,408682,407224,415482
tai30a,1949164,1987288,1974548,2003272,1991064,1960892,1961578,1970966,1985264,1955086,2028822,1986700,1975978,1982872,1975660,2000076,1981934,2013086,1989068,1978312,1983022,1985780,1993616,1947382,1994868
tai60a,7970794,7961874,7886008,7961262,7896440,7961070,7929684,7963002,7933172,7859442,7979938,7891060,7878570,7959608,7962750,7972416,7945924,7969198,7898182,7963528,7973590,7933238,7933722,7924114,7975616
tai80a,14730802,14701534,14750710,14802916,14782118,14710938,14836966,14845368,14652414,14818302,14851946,14788872,14811946,14811364,14910352,14763584,14727312,14690742,14788158,14786898,14848786,14834712,14836432,14811162,14763200
