FE,Run 1,Run 2,Run 3,Run 4,Run 5,Run 6,Run 7,Run 8,Run 9,Run 10,Run 11,Run 12,Run 13,Run 14,Run 15,Run 16,Run 17,Run 18,Run 19,Run 20,Run 21,Run 22,Run 23,Run 24,Run 25
2700,2068036,2066380,2083796,2073542,2047378,2066672,2081298,2058608,2040484,2083134,2039068,2075684,2079074,2080220,2076336,2054322,2084368,2049156,2073160,2054888,2052984,2073274,2039122,2042900,2066510
2800,2068036,2066380,2083796,2073542,2039376,2066672,2081298,2058608,2040484,2083134,2039068,2075684,2079074,2080220,2076336,2054322,2084368,2049156,2073160,2054888,2052984,2073274,2039122,2042900,2066510
2900,2068036,2066380,2083796,2073542,2039376,2066672,2081298,2058608,2040484,2083134,2039068,2075684,2079074,2080220,2076336,2048736,2084368,2049156,2073160,2054888,2052984,2073274,2039122,2042900,2066510
3000,2068036,2049366,2083796,2073542,2036992,2056980,2081298,2056474,2040484,2083134,2039068,2075684,2079074,2080220,2076336,2048736,2084368,2049156,2057018,2054888,2052984,2073274,2039122,2042900,2066510
3100,2068036,2049366,2083796,2061792,2036992,2056980,2081298,2056474,2040484,2083134,2039068,2075684,2077654,2080220,2076336,2048736,2084368,2049156,2057018,2054888,2052984,2073274,2039122,2042900,2066510
3200,2068036,2049366,2083796,2059600,2036992,2056980,2081298,2056474,2040484,2083134,2028662,2075684,2077654,2080220,2076336,2048736,2084368,2049156,2057018,2054888,2052984,2073274,2039122,2042900,2066510
3300,2068036,2049366,2083796,2059600,2036992,2056980,2081298,2056474,2040484,2078146,2028662,2075684,2077654,2080220,2076336,2048736,2084368,2049156,2057018,2054888,2052984,2073274,2039122,2042900,2066510
3400,2068036,2049366,2083668,2059600,2036992,2056980,2081298,2056474,2040484,2078146,2028662,2075684,2074224,2080220,2076336,2048736,2084368,2049156,2057018,2054888,2052984,2072902,2039122,2042900,2066510
3500,2068036,2049366,2083668,2059600,2036992,2056980,2081298,2056474,2040484,2078146,2028662,2075684,2074224,2080220,2076336,2048736,2084368,2049156,2057018,2054888,2052984,2072902,2039122,2042900,2036492
3600,2068036,2049366,2083668,2059600,2036992,2056980,2081298,2056474,2040484,2067756,2028662,2075684,2074224,2080220,2076336,2048736,2084368,2049156,2057018,2054888,2052984,2072902,2039122,2042900,2036492
3700,2068036,2049366,2042696,2059600,2026938,2027648,2081298,2056474,2040484,2067756,2028662,2075684,2074224,2080220,2076336,2048736,2084368,2049156,2057018,2054888,2052984,2072902,2039122,2042900,2036492
3800,2068036,2049366,2042696,2059600,2026938,2027648,2081298,2056474,2040484,2067756,2028662,2075684,2074224,2080220,2076336,2048736,2084368,2049156,2057018,2054888,2052984,2072902,2039122,2042900,2036492
3900,2068036,2049366,2042696,2059600,2026938,2027648,2081298,2056474,2040484,2067756,2001156,2075684,2074224,2080220,2076336,2035670,2084368,2049156,2055262,2054888,2052984,2072902,2039122,2042900,2021178
4000,2068036,2048720,2042696,2059600,2026938,2027648,2081298,2056474,2040484,2067756,2001156,2075684,2074224,2080220,2076336,2035670,2084368,2049156,2055262,2054888,2052984,2072902,2039122,2042900,2021178
4100,2068036,2048720,2042696,2059600,2026938,2022910,2081298,2056474,2040484,2067756,2001156,2075684,2074224,2080220,2076336,2035670,2084368,2049156,2055262,2054888,2052984,2072902,2039122,2042900,2021178
4200,2068036,2048720,2042696,2059600,2026938,2022910,2074332,2056474,2040484,2067756,2001156,2075684,2074224,2080220,2076336,2035670,2084368,2049156,2055262,2054888,2052984,2072902,2039122,2042900,2021178
4300,2068036,2048720,2042696,2059600,2026938,2022910,2074332,2056474,2023538,2067756,2001156,2075684,2074224,2080220,2076336,2035670,2084368,2049156,2055262,2054888,2052984,2072902,2039122,2042900,2021178
4400,2068036,2048720,2042696,2059600,2026938,2022910,2074332,2056474,2023538,2067756,2001156,2075684,2074224,2080220,2076336,2035670,2084368,2049156,2055262,2054888,2052984,2072902,2039122,2042900,2021178
4500,2068036,2048720,2042696,2059600,2026938,2022910,2074332,2046928,2023538,2067756,2001156,2075684,2074224,2080220,2076336,2035670,2084368,2049156,2055262,2054888,2052984,2072902,2039122,2039330,2013682
4600,2068036,2048720,2042696,2059600,2026938,2022910,2074332,2046928,2023538,2067756,2001156,2075684,2074224,2080220,2076336,2035670,2084368,2049156,2055262,2054888,2052984,2072902,2039122,2039330,2013682
4700,2068036,2048720,2042696,2059600,2026938,2022910,2074332,2046928,2023538,2067756,2001156,2075684,2074224,2080220,2076336,2035670,2084368,2049156,2055262,2054888,2052984,2072902,2039122,2039330,2013682
4800,2068036,2048720,2042696,2059600,2026938,2022910,2070312,2046928,2023538,2067756,2001156,2075684,2074224,2080220,2076336,2035670,2074532,2049156,2055262,2054888,2052984,2072902,2039122,2039330,2013682
4900,2068036,2048720,2042696,2059600,2026938,2022910,2070312,2046928,2023538,2067756,2001156,2075684,2074224,2080220,2076336,2035670,2074532,2049156,2055262,2054888,2052984,2072902,2039122,2039330,2013682
5000,2068036,2048720,2042696,2059600,2026938,2022910,2070312,2040260,2023538,2067756,2001156,2075684,2074224,2080220,2076336,2035670,2074532,2049156,2055262,2054888,2052984,2072902,2039122,2039330,2013682
5100,2068036,2048720,2042696,2059600,2026938,2022910,2070312,2040260,2023538,2067756,2001156,2075684,2074224,2080220,2076336,2035670,2074532,2049156,2055262,2054888,2052984,2072902,2019548,2039330,2013682
5200,2068036,2048720,2042696,2059600,2026938,2022910,2070312,2040260,2023538,2067756,2001156,2075684,2074224,2080220,2076336,2035670,2074532,2049156,2055262,2054888,2052984,2072902,2019548,2039330,2013682
5300,2068036,2048720,2042696,2059600,2026938,2022910,2070312,2040260,2023538,2067756,2001156,2075684,2074224,2080220,2071794,2035670,2074532,2049156,2055262,2054888,2052984,2072902,2019548,2039330,2013682
5400,2068036,2048720,2042696,2059600,2026938,2022910,2070312,2040260,2023538,2067756,2001156,2075684,2074224,2080220,2057384,2035670,2074532,2049156,2055262,2054888,2052984,2072902,2019548,2039330,2013682
5500,2068036,2048720,2042696,2059600,2026938,2022910,2070312,2040260,2023538,2067756,2001156,2075684,2074224,2080220,2057384,2035670,2074532,2049156,2055262,2054888,2052984,2072902,2019548,2039330,2013682
5600,2059494,2048720,2042696,2059600,2026938,2022910,2070312,2040260,2023538,2067756,2001156,2075684,2074224,2080220,2057384,2035670,2074532,2049156,2055262,2054888,2052984,2072902,2014462,2039330,2013682
5700,2059494,2048720,2042696,2059600,2026938,2022910,2054104,2040260,2023538,2064050,2001156,2075684,2074224,2080220,2057384,2035670,2074532,2049156,2055262,2054888,2052984,2072902,2014462,2039330,2013682
5800,2059494,2048720,2042696,2059600,2026938,2022910,2054104,2040260,2023538,2064050,2001156,2075684,2074224,2080220,2057384,2035670,2074532,2049156,2055262,2054888,2052984,2072902,2007546,2039330,2013682
5900,2059494,2048720,2042696,2059600,2026938,2022910,2054104,2040260,2023538,2064050,2001156,2070230,2074224,2080220,2057384,2035670,2074532,2049156,2055262,2054888,2052984,2072902,2007546,2039330,2013682
