FE,Run 1,Run 2,Run 3,Run 4,Run 5,Run 6,Run 7,Run 8,Run 9,Run 10,Run 11,Run 12,Run 13,Run 14,Run 15,Run 16,Run 17,Run 18,Run 19,Run 20,Run 21,Run 22,Run 23,Run 24,Run 25
100,15397964,15433418,15371244,15333186,15379284,15361290,15387090,15392360,15376784,15399492,15428966,15397582,15345394,15373000,15379490,15397076,15449836,15412262,15391040,15377930,15467936,15405976,15299250,15357130,15435068
200,15253516,15289878,15346486,15233652,15299544,15304084,15341724,15377376,15355784,15313988,15363168,15344956,15345394,15300966,15352744,15335780,15360248,15340082,15386434,15352848,15367042,15327918,15259922,15341222,15371156
300,15239376,15237042,15307880,15216504,15299544,15302850,15297018,15311166,15287240,15313988,15252634,15239906,15269162,15260466,15309402,15313796,15277982,15339234,15295466,15321614,15303646,15303898,15234780,15320614,15366348
400,15239376,15212136,15216868,15195998,15299544,15223236,15245784,15244794,15223826,15266618,15197270,15239906,15259140,15250416,15266478,15281832,15275896,15295240,15228644,15281718,15242992,15267304,15185782,15320614,15295502
500,15224398,15204206,15216868,15152638,15299544,15223236,15204972,15208370,15223826,15226814,15197270,15213734,15259140,15197872,15248584,15236128,15240664,15295240,15228644,15281718,15219916,15267304,15172936,15320614,15193658
600,15224398,15204206,15198808,15152638,15299544,15223236,15204972,15195984,15223826,15189908,15197270,15213734,15215800,15197872,15248584,15156658,15211070,15226746,15206596,15262110,15219916,15260364,15172936,15320614,15193658
700,15224398,15204206,15190266,15152638,15299544,15223236,15169336,15176798,15223826,15189908,15197270,15213734,15126238,15197872,15228312,15137996,15197052,15225932,15206596,15262110,15213508,15253316,15118280,15320614,15174500
800,15224398,15204206,15141222,15152638,15299544,15223236,15169336,15176798,15204506,15189908,15197270,15213734,15126238,15197872,15228312,15124214,15197052,15193760,15206596,15262110,15213508,15253316,15118280,15316914,15174500
900,15205406,15204206,15141222,15152638,15299544,15223236,15169336,15176798,15184690,15189908,15197270,15213734,15126238,15197872,15228312,15124214,15130372,15189888,15206596,15262110,15192128,15253316,15118280,15316914,15174500
1000,15205406,15204206,15141222,15152638,15299544,15223236,15169336,15176798,15184690,15189908,15197270,15213734,15126238,15197872,15196618,15124214,15130372,15189888,15206596,15262110,15192128,15253316,15118280,15313718,15174500
1100,15205406,15204206,15141222,15129098,15299544,15223236,15169336,15176798,15184690,15189908,15197270,15213734,15126238,15197872,15196618,15106142,15130372,15189888,15206596,15262110,15192128,15253316,15118280,15313718,15174500
1200,15205406,15204206,15141222,15129098,15299544,15223236,15169336,15176798,15184690,15189908,15191458,15213734,15126238,15197872,15196618,15106142,15130372,15189888,15206596,15262110,15178600,15253316,15118280,15313718,15174500
1300,15205406,15204206,15141222,15129098,15299544,15223236,15164688,15166586,15184690,15189908,15191458,15213734,15126238,15197872,15196618,15106142,15130372,15189410,15206596,15262110,15178600,15253316,15118280,15313718,15174500
1400,15205406,15204206,15141222,15129098,15299544,15223236,15164688,15166586,15184690,15189908,15191458,15178428,15126238,15197872,15196618,15106142,15130372,15189410,15206596,15196308,15178600,15253316,15118280,15313718,15174500
1500,15205406,15204206,15141222,15129098,15299544,15223236,15164688,15166586,15184690,15189908,15191458,15178428,15126238,15197872,15196618,15106142,15130372,15189410,15206596,15196308,15178600,15241604,15118280,15297386,15174500
1600,15205406,15204206,15141222,15113398,15299544,15223236,15164688,15166586,15184690,15189908,15191458,15178428,15126238,15197872,15196618,15106142,15130372,15189410,15206596,15196308,15168060,15241604,15118280,15297386,15174500
1700,15205406,15204206,15141222,15095376,15299544,15223236,15164688,15166586,15184690,15189908,15191458,15178428,15126238,15197872,15196618,15106142,15130372,15189410,15206596,15196308,15168060,15241604,15118280,15297386,15174500
1800,15205406,15204206,15141222,15095376,15299544,15223236,15164688,15166586,15184690,15099552,15191458,15178428,15126238,15197872,15196618,15106142,15130372,15177868,15206596,15196308,15168060,15241604,15118280,15297386,15174500
1900,15205406,15204206,15141222,15095376,15299544,15183474,15164688,15157820,15184690,15099552,15191458,15178428,15126238,15197872,15196618,15106142,15130372,15177868,15168402,15196308,15168060,15241604,15118280,15297386,15174500
2000,15205406,15204206,15141222,15095376,15299544,15183474,15161756,15134226,15184690,15099552,15191458,15178428,15126238,15197872,15196618,15106142,15130372,15177868,15168402,15196308,15164556,15241604,15118280,15297386,15174500
2100,15205406,15204206,15141222,15095376,15299544,15183474,15161756,15134226,15184690,15099552,15191458,15178428,15126238,15174210,15196618,15106142,15130372,15177868,15168402,15179268,15164556,15241604,15118280,15297386,15174500
2200,15205406,15204206,15141222,15095376,15299544,15183474,15142040,15134226,15184690,15099552,15191458,15178428,15126238,15174210,15196618,15106142,15130372,15177868,15168402,15179268,15164556,15241604,15118280,15297386,15174500
2300,15205406,15170944,15132926,15095376,15299544,15183474,15142040,15134226,15184690,15099552,15191458,15178428,15126238,15174210,15196618,15106142,15130372,15177868,15163240,15179268,15164556,15241604,15118280,15280716,15122368
2400,15205406,15147940,15132926,15095376,15299544,15183474,15142040,15134226,15184690,15099552,15191458,15178428,15126238,15174210,15196618,15106142,15130372,15177868,15163240,15179268,15164556,15241604,15118280,15280716,15122368
2500,15205406,15147940,15132926,15095376,15299544,15183474,15142040,15134226,15184690,15099552,15191458,15178428,15126238,15174210,15196618,15106142,15130372,15177868,15163240,15179268,15164556,15224582,15118280,15280716,15122368
2600,15205406,15147940,15132926,15088512,15299544,15183474,15142040,15134226,15184690,15099552,15157526,15178428,15126238,15174210,15173854,15106142,15130372,15177868,15163240,15179268,15164556,15210568,15118280,15280716,15122368
2700,15177810,15147940,15132926,15088512,15299544,15183474,15142040,15134226,15184690,15051294,15157526,15178428,15126238,15174210,15173854,15106142,15130372,15156796,15161014,15179268,15164556,15210568,15118280,15280716,15122368
2800,15177810,15147940,15132926,15088512,15299544,15183474,15142040,15134226,15184690,15051294,15157526,15178428,15126238,15174210,15173854,15106142,15130372,15156796,15161014,15175516,15138810,15210568,15118280,15280716,15122368
2900,15177810,15147940,15132926,15088512,15243026,15183474,15142040,15134226,15184690,15051294,15157526,15178428,15126238,15174210,15173854,15106142,15130372,15144934,15161014,15175516,15138810,15210568,15105820,15280716,15122368
3000,15177810,15147940,15132926,15088512,15243026,15183474,15142040,15134226,15184690,15051294,15157526,15178428,15126238,15174210,15154060,15106142,15130372,15144934,15095152,15175516,15138810,15210568,15105820,15280716,15109242
3100,15177810,15125896,15080652,15088512,15217222,15139698,15142040,15134226,15184690,15051294,15131190,15178428,15126238,15174210,15154060,15102324,15130372,15144934,15095152,15175516,15069398,15198288,15105118,15280716,15109242
