FE,Run 1,Run 2,Run 3,Run 4,Run 5,Run 6,Run 7,Run 8,Run 9,Run 10,Run 11,Run 12,Run 13,Run 14,Run 15,Run 16,Run 17,Run 18,Run 19,Run 20,Run 21,Run 22,Run 23,Run 24,Run 25
100,2125460,2101224,2114184,2124418,2125962,2115612,2125448,2125512,2114086,2091696,2105618,2123760,2123230,2116652,2104320,2116786,2121348,2108792,2130526,2097288,2110668,2113648,2100144,2110040,2102538
200,2122826,2098236,2114184,2091810,2108888,2103268,2108740,2107230,2110898,2091696,2105618,2101276,2123230,2113466,2104320,2104772,2105118,2108792,2080696,2097288,2096826,2097994,2100144,2098548,2102538
300,2118928,2098236,2114184,2091810,2108888,2103268,2108740,2107230,2110898,2078450,2098104,2076758,2110090,2080856,2104320,2091346,2097748,2088182,2059736,2093546,2096826,2097994,2100144,2092668,2102538
400,2118928,2098236,2114184,2091810,2108888,2090858,2108360,2107230,2106954,2078450,2098104,2076758,2110090,2080856,2104320,2076680,2097748,2088182,2059736,2093546,2096826,2097994,2100144,2079890,2102538
500,2115006,2098236,2096276,2091810,2107414,2073550,2108360,2088796,2106954,2078450,2098104,2076758,2110090,2080856,2104320,2076680,2097748,2084056,2059736,2092278,2094798,2092532,2100144,2079890,2102538
600,2098760,2098236,2094458,2091810,2107414,2073550,2106906,2077502,2095990,2077776,2098104,2076758,2094570,2080856,2094082,2076680,2097748,2084056,2059736,2091738,2085152,2092532,2099826,2079890,2095476
700,2098760,2098236,2074624,2091810,2088458,2073550,2106906,2077502,2095990,2077776,2098104,2076758,2094570,2080856,2094082,2076680,2097748,2084056,2059736,2091738,2085152,2079584,2099826,2079890,2095476
800,2097396,2098236,2074624,2088022,2088458,2073550,2099668,2077502,2095990,2077776,2098104,2076758,2094570,2080856,2094082,2076680,2097748,2084056,2059736,2077366,2085152,2079584,2099826,2079890,2095476
900,2097396,2098236,2074624,2088022,2088458,2073550,2099668,2077502,2091466,2077776,2098104,2076758,2094570,2080856,2080472,2076680,2089348,2083390,2059736,2077366,2085152,2079584,2099826,2079890,2095476
1000,2097396,2098236,2074624,2088022,2088458,2073016,2099668,2077502,2091466,2077776,2098104,2076758,2094570,2080856,2080472,2061864,2082116,2083390,2059736,2077366,2085152,2079584,2095182,2079890,2095476
1100,2097396,2098236,2073118,2088022,2088458,2073016,2099668,2077502,2091466,2077776,2080188,2076758,2094570,2080856,2080472,2061864,2061436,2083390,2049296,2077366,2085152,2079584,2095182,2079890,2095476
1200,2097396,2098236,2073118,2088022,2088458,2073016,2099668,2077502,2071454,2077776,2080188,2065786,2094570,2080856,2080472,2061864,2061436,2083390,2049296,2077366,2085152,2079584,2095182,2079890,2095476
1300,2086478,2098236,2073118,2088022,2088458,2073016,2099668,2077502,2071454,2068604,2080188,2065786,2087762,2080856,2080472,2040948,2061436,2083390,2049296,2077366,2085152,2079584,2095182,2079890,2095476
1400,2086478,2098236,2073118,2088022,2088458,2073016,2095314,2077502,2071454,2068604,2080188,2065786,2087762,2080856,2080472,2040948,2061436,2083390,2049296,2077366,2085152,2079584,2086608,2079890,2095476
1500,2086478,2098236,2073118,2088022,2088458,2073016,2095314,2077502,2071454,2068604,2080188,2065786,2087762,2080856,2080472,2040948,2061436,2083390,2049296,2077366,2077652,2079584,2072064,2079890,2087532
1600,2086478,2087604,2073118,2088022,2088458,2073016,2086992,2077502,2071454,2068604,2077294,2065786,2087762,2071368,2061326,2040948,2061436,2083390,2027324,2077366,2077652,2079584,2072064,2079890,2087532
1700,2067212,2087604,2073118,2068886,2088458,2073016,2086992,2077502,2071454,2068604,2077294,2065786,2087762,2071368,2061326,2040948,2061436,2083390,2027324,2077366,2077652,2079584,2072064,2079890,2076720
1800,2067212,2087604,2050704,2068886,2088458,2073016,2086992,2077502,2071454,2068604,2073298,2065786,2087762,2071368,2061326,2040948,2061436,2083390,2027324,2077366,2077652,2079584,2072064,2079890,2076720
1900,2067212,2087604,2050704,2068886,2088458,2073016,2086992,2077502,2071454,2068604,2073298,2065786,2087762,2071368,2061326,2040948,2061436,2082714,2027324,2077366,2077652,2079584,2072064,2079890,2076720
2000,2067212,2087604,2050704,2068886,2088458,2073016,2058106,2077502,2071454,2068604,2073298,2065786,2087762,2071368,2061326,2040948,2061436,2074134,2027324,2077366,2069020,2079584,2072064,2079890,2076720
2100,2067212,2087604,2050704,2068886,2088458,2073016,2058106,2077502,2071454,2068604,2073298,2065786,2083958,2071368,2061326,2040948,2061436,2064280,2027324,2077366,2069020,2073798,2072064,2079890,2076720
2200,2067212,2084736,2050704,2068886,2079640,2073016,2058106,2077502,2071454,2068604,2073298,2065786,2083958,2071368,2061326,2040948,2061436,2035124,2027324,2077366,2069020,2072772,2072064,2079890,2069394
2300,2067212,2084736,2050704,2068886,2073944,2073016,2058106,2077502,2071454,2068604,2073298,2065786,2083958,2071368,2061326,2040948,2061436,2035124,2027324,2077366,2069020,2072772,2072064,2079890,2069394
2400,2067212,2084736,2050704,2068886,2070454,2073016,2058106,2077502,2071454,2068604,2073298,2065786,2083958,2071368,2061326,2040948,2061436,2035124,2027324,2077366,2058050,2072772,2072064,2079890,2069394
2500,2067212,2084736,2022848,2068886,2070454,2073016,2058106,2077502,2071454,2068604,2073298,2065786,2083958,2071368,2061326,2018586,2061436,2035124,2027324,2077366,2058050,2072772,2072064,2079890,2069394
2600,2067212,2084736,2022848,2068886,2070454,2073016,2058106,2077502,2067326,2068604,2073298,2065786,2083958,2071368,2061326,2018586,2061436,2035124,2027324,2077366,2058050,2072772,2072064,2079890,2069394
2700,2024984,2061036,2020856,2068886,2070454,2073016,2058106,2077502,2067326,2068604,2073298,2065786,2083958,2071368,2061326,2018586,2061436,2035124,2027324,2077366,2058050,2065568,2072064,2079890,2069394
2800,2024984,2061036,2020856,2068886,2070454,2073016,2058106,2077502,2067326,2068604,2073298,2065786,2083958,2071368,2061326,2018586,2061436,2035124,2027324,2077366,2058050,2065568,2072064,2079890,2069394
2900,2024984,2061036,2020856,2068886,2070454,2073016,2058106,2077502,2067326,2068604,2073298,2065786,2083958,2071368,2061326,2018586,2061436,2035124,2027324,2077366,2058050,2065568,2072064,2079890,2069394
3000,1996398,2061036,2020856,2068886,2070454,2073016,2058106,2077502,2067326,2068604,2073298,2065786,2083958,2071368,2061326,2018586,2051228,2035124,2027324,2077366,2058050,2065568,2072064,2079890,2057452
3100,1982634,2061036,2020856,2068886,2070454,2073016,2058106,2077502,2067326,2068604,2073298,2065786,2083958,2071368,2061326,2018586,2051228,2035124,2027324,2077366,2058050,2065568,2072064,2079890,2057452
3200,1982634,2061036,2020856,2068886,2070454,2073016,2046232,2077502,2067326,2068604,2073298,2065786,2083958,2071368,2061326,2018586,2051228,2035124,2027324,2077366,2058050,2065568,2072064,2079890,2057452
3300,1982634,2061036,2020856,2068886,2070454,2073016,2046232,2077502,2067326,2068604,2073298,2065786,2083958,2071368,2061326,2018586,2051228,2035124,2027324,2077366,2058050,2065568,2072064,2079690,2057452
3400,1982634,2061036,2020856,2068886,2070454,2068394,2046232,2077502,2067326,2068604,2073298,2065786,2083958,2071368,2061326,2018586,2051228,2035124,2027324,2077366,2058050,2062022,2072064,2079690,2057452
3500,1982634,2061036,1995704,2068886,2056530,2068394,2046232,2077502,2067326,2068604,2073298,2063774,2083958,2071368,2061326,2018586,2051228,2035124,2027324,2077366,2058050,2062022,2072064,2079690,2057452
3600,1982634,2061036,1995704,2068886,2056530,2068394,2046232,2077502,2067326,2068604,2073298,2062842,2083958,2071368,2061326,2018586,2051228,2035124,2027324,2077366,2058050,2059360,2072064,2079690,2057452
3700,1982634,2061036,1995704,2068886,2056530,2068394,2046232,2077502,2067326,2068604,2073298,2062842,2083958,2071368,2061326,2018586,2051228,2035124,2027324,2077366,2058050,2059360,2072064,2079690,2057452
3800,1982634,2061036,1995704,2068886,2056530,2068394,2046232,2077502,2067326,2068604,2073298,2062842,2083958,2071368,2061326,2018586,2051228,2035124,2027324,2077366,2058050,2059360,2072064,2079690,2057452
3900,1982634,2061036,1995704,2055858,2056530,2068394,2046232,2077502,2067326,2068604,2073298,2062842,2072544,2071368,2061326,2018586,2051228,2035124,2027324,2077366,2058050,2059360,2072064,2079690,2057452
4000,1982634,2061036,1995704,2055858,2056530,2068394,2046232,2077502,2067326,2068604,2073298,2062842,2043628,2071368,2061326,2018586,2051228,2035124,2027324,2077366,2058050,2059360,2072064,2079690,2057452
4100,1982634,2061036,1995704,2055858,2056530,2068394,2046232,2077502,2067326,2068604,2045574,2062842,2043628,2071368,2061326,2018586,2051228,2035124,2027324,2077366,2058050,2059360,2072064,2077180,2057452
4200,1982634,2061036,1995704,2055858,2056530,2068394,2046232,2071594,2067326,2068604,2045574,2062842,2043628,2071368,2061326,2018586,2051228,2035124,2027324,2077366,2058050,2059360,2072064,2077180,2057452
4300,1982634,2061036,1995704,2055858,2056530,2068394,2030034,2071594,2067326,2068604,2045574,2062842,2043628,2071368,2061326,2018586,2051228,2025978,2027324,2077366,2058050,2059360,2072064,2077180,2057452
4400,1982634,2061036,1995704,2055858,2056530,2068394,2030034,2071594,2067326,2068604,2045574,2062842,2043628,2071368,2061326,2018586,2051228,2025978,2027324,2077366,2058050,2059360,2072064,2077180,2057452
4500,1982634,2061036,1995704,2055858,2056530,2068394,2030034,2060434,2067326,2068604,2045574,2062842,2043628,2071368,2061326,2018586,2051228,2025978,2027324,2077366,2058050,2059360,2072064,2077180,2057452
4600,1982634,2061036,1995704,2055858,2056530,2068394,2030034,2048910,2067326,2068604,2045574,2062842,2043628,2071368,2061326,2018586,2051228,2025978,2027324,2077366,2058050,2059360,2072064,2077180,2057452
4700,1982634,2061036,1995704,2055858,2056530,2068394,2030034,2048910,2067326,2068604,2045574,2062842,2043628,2071368,2061326,2018586,2051228,2025978,2027324,2077366,2058050,2059360,2072064,2077180,2057452
4800,1982634,2061036,1995704,2055858,2056530,2068394,2030034,2048910,2067326,2068604,2045574,2062842,2043628,2062972,2061326,2018586,2051228,2025978,2027324,2077366,2058050,2059360,2072064,2077180,2057452
4900,1982634,2061036,1995704,2055858,2051498,2068394,2030034,2048910,2067326,2068604,2045574,2062842,2043628,2062972,2061326,2018586,2051228,2025978,2027324,2077366,2058050,2059360,2072064,2077180,2057452
