FE,Run 1,Run 2,Run 3,Run 4,Run 5,Run 6,Run 7,Run 8,Run 9,Run 10,Run 11,Run 12,Run 13,Run 14,Run 15,Run 16,Run 17,Run 18,Run 19,Run 20,Run 21,Run 22,Run 23,Run 24,Run 25
100,2095340,2108106,2086768,2119794,2118068,2095436,2076650,2112910,2089384,2130716,2098300,2106582,2119472,2126234,2096140,2140522,2094486,2073596,2096592,2109950,2072624,2104052,2097102,2097048,2127258
200,2082370,2102716,2084976,2102500,2103960,2087596,2076650,2092976,2089384,2117844,2090850,2104484,2098268,2116634,2096140,2123276,2092226,2069616,2085916,2103478,2072624,2087898,2097102,2078122,2110742
300,2082370,2099122,2071874,2102500,2094776,2087596,2053282,2092976,2078108,2117844,2085358,2094496,2098268,2108156,2096140,2104076,2090544,2068688,2085916,2094394,2072624,2087898,2097102,2078122,2103348
400,2082370,2096508,2071874,2102500,2094776,2087596,2053282,2092976,2073528,2117844,2085358,2094496,2096800,2101082,2096140,2104076,2079596,2067978,2085916,2094394,2072624,2087898,2095616,2075368,2103348
500,2058930,2085284,2058692,2086716,2077912,2079398,2036064,2080428,2038430,2112004,2071552,2074574,2079120,2089492,2077530,2104076,2066194,2041716,2053454,2090296,2036766,2066128,2071952,2066064,2085760
600,2058590,2066318,2058692,2072170,2077520,2060896,2036064,2080428,2038430,2079882,2066076,2074336,2064498,2086008,2066480,2082930,2053840,2034350,2051374,2061860,2036766,2063302,2067394,2048130,2071100
700,2049694,2066318,2058692,2067474,2065442,2055034,2036064,2061492,2038430,2079882,2066076,2074336,2064498,2083010,2066480,2074790,2048454,2034350,2051374,2061860,2036766,2046998,2067394,2048130,2071100
800,2049694,2064642,2043062,2062548,2065442,2055034,2033944,2061492,2038430,2079882,2060434,2074336,2064498,2071510,2066480,2074790,2036250,2034350,2051374,2061860,2036766,2046998,2067394,2045798,2071100
900,2049694,2064642,2043062,2062548,2056416,2055034,2020214,2061492,2038430,2079402,2056794,2066246,2064498,2071510,2065282,2065936,2036250,2034350,2041906,2050820,2036766,2046402,2067394,2042836,2066926
1000,2027240,2040500,2030390,2029644,2047460,2034924,1998530,2046772,2029298,2064678,2039168,2046814,2045150,2061140,2038440,2054958,2018282,2005468,2006480,2036282,2018548,2031470,2053032,2025066,2039170
1100,2027240,2040500,2030390,2029644,2027658,2034924,1998530,2046772,2013184,2058626,2039168,2046162,2039900,2043064,2038440,2042684,2018282,2005468,2006480,2030578,2013896,2029114,2046818,2025066,2039170
1200,2027240,2040500,2030390,2029644,2027658,2031434,1998208,2045776,2005522,2058626,2039128,2046162,2035754,2043064,2034850,2042684,2010132,2005468,2006480,2030578,2013896,2015628,2031110,2015338,2039170
1300,2027240,2040500,2030390,2029644,2027658,2031434,1998208,2039520,2005522,2053010,2036966,2034010,2035754,2043064,2034850,2042684,2010132,2005468,2006480,2023308,2013896,2015628,2031110,2015338,2035338
1400,2020816,2034676,2015874,2012394,2023248,2016810,1980874,2018966,2005522,2038692,2012264,2017066,2027050,2023984,2015400,2024344,1990868,1986208,1985160,2001226,1991502,2001488,2016774,2006202,2021080
1500,2007448,2034282,2003616,2012394,2009214,2015258,1980874,2018966,1988746,2036240,2012264,2017066,2025230,2023984,2015400,2020942,1990868,1986208,1985160,2001226,1989188,2001488,2014300,2003020,2012556
1600,2007448,2025994,2003616,2008628,2009214,2015258,1980874,2018966,1986378,2029898,2011200,2013578,2022100,2023984,2012342,2020942,1990868,1983568,1985160,2001226,1989188,2001488,2012524,2001692,2012556
1700,2007448,2024466,2003616,2008628,2009214,2015258,1980874,2008734,1986378,2029898,2011200,2013578,2018722,2023984,2012342,2020942,1990868,1983568,1985160,2001226,1989188,1992000,2012524,1991736,2012556
1800,1992960,2013740,2001622,2001598,2000554,2007788,1980874,2002250,1986378,2029898,2011200,1996834,2000822,2012128,2005204,2019674,1990868,1983568,1985160,1995698,1989188,1992000,1999850,1985668,2000768
1900,1992870,2007916,1994406,2001598,1972624,2000274,1969022,2002250,1975620,2019600,1988016,1996834,2000822,2011458,1996600,2001290,1983792,1960812,1970906,1993242,1972842,1973754,1996968,1984746,2000768
2000,1992870,1997026,1994406,1997714,1972624,2000274,1969022,2002250,1975620,2011798,1988016,1996834,2000822,2011458,1996600,1993614,1976798,1960812,1970906,1988692,1972842,1973754,1996968,1979082,1999876
2100,1992870,1997026,1994042,1986284,1972624,1985706,1969022,1997874,1973612,2011798,1988016,1996834,2000822,2011458,1993510,1993614,1976798,1960812,1970906,1988692,1972842,1973754,1996968,1973832,1999876
2200,1992870,1997026,1994042,1986284,1972624,1985706,1968702,1991260,1973612,2011798,1988016,1996834,2000822,2006472,1983860,1993614,1976798,1960812,1970906,1987830,1972842,1973754,1996968,1973832,1999876
2300,1976162,1997026,1989536,1978934,1970850,1970026,1963296,1985830,1971064,2001476,1985416,1996834,1991732,1994380,1981814,1985602,1971474,1958848,1969408,1977814,1967854,1970324,1983006,1963626,1985130
2400,1976162,1985610,1988288,1975306,1965936,1970026,1960114,1985830,1967390,2001476,1974390,1980494,1988352,1994380,1974564,1985602,1971474,1955686,1957980,1977814,1958772,1957570,1983006,1963626,1985130
2500,1976162,1983776,1988288,1975306,1965936,1970026,1960114,1982046,1967390,2001476,1974390,1980494,1988352,1994380,1973372,1982984,1965654,1955686,1957980,1977814,1958772,1957570,1983006,1963626,1985130
2600,1976162,1981962,1987992,1966360,1964090,1970026,1960114,1979106,1967390,1985996,1974390,1980494,1988352,1994380,1973372,1975080,1965654,1952682,1947944,1968602,1958772,1957570,1983006,1959666,1985130
2700,1976162,1981962,1985656,1959386,1963010,1965366,1960114,1977240,1962974,1975980,1973590,1980494,1986176,1991472,1972670,1971450,1960682,1936246,1947944,1968602,1955408,1957570,1983006,1942794,1982268
2800,1966626,1978198,1985656,1959386,1959312,1965366,1957100,1976860,1957150,1967182,1964480,1978170,1983420,1984112,1962930,1964904,1955820,1936246,1943718,1951092,1954548,1950696,1976008,1942794,1980904
2900,1957768,1978198,1978788,1955886,1957710,1965366,1957100,1973670,1955660,1967182,1964480,1972750,1983420,1984112,1962930,1964904,1955820,1936246,1936294,1951092,1946592,1945060,1961506,1942794,1978728
3000,1957768,1969384,1978788,1953088,1957710,1964942,1954542,1972132,1955660,1967182,1964480,1967686,1983420,1984112,1962930,1964904,1955820,1936246,1933128,1951092,1946592,1945060,1961506,1942794,1978728
3100,1957768,1969384,1978788,1953088,1957710,1952882,1954542,1971714,1955660,1967182,1964480,1967300,1982040,1980904,1949612,1964904,1955820,1936246,1933128,1951092,1946592,1945060,1961506,1942794,1978728
3200,1948062,1969384,1977740,1945230,1955156,1952882,1950794,1967842,1953838,1958982,1952110,1967300,1980016,1979336,1945048,1964904,1955820,1932770,1929076,1951092,1941254,1940846,1961506,1938826,1970436
3300,1948062,1967264,1973692,1945230,1949678,1951096,1950794,1967842,1945252,1958982,1952110,1967300,1976912,1979336,1945048,1964900,1955820,1932770,1921820,1942856,1941254,1940846,1956532,1938826,1970436
3400,1948062,1960612,1973692,1945230,1949678,1951096,1950684,1965070,1945252,1958982,1952110,1955956,1976912,1976906,1945048,1961140,1948554,1932770,1921820,1942856,1941254,1940846,1955252,1938826,1970436
3500,1948062,1958528,1967502,1945230,1949678,1950826,1948836,1965070,1945252,1958982,1952110,1955956,1976912,1976906,1945048,1960794,1948554,1932770,1921820,1942856,1941254,1940846,1944382,1937544,1970436
3600,1943690,1958528,1961012,1945230,1949678,1945962,1946274,1964072,1943380,1957954,1949646,1955956,1974348,1970750,1945048,1960794,1943826,1932770,1921820,1942856,1934614,1940846,1944382,1934076,1964752
3700,1937946,1953862,1960492,1938218,1945198,1942190,1946274,1962226,1943380,1954462,1940064,1955566,1971064,1969168,1943652,1960794,1943826,1917544,1920938,1937360,1934614,1938898,1942864,1933078,1964752
3800,1937420,1945372,1960492,1938218,1942130,1942190,1946274,1962226,1942514,1954462,1940064,1945808,1971064,1969168,1939152,1960794,1943826,1917544,1916304,1935256,1932440,1938898,1942864,1933078,1964752
3900,1937420,1945372,1960492,1938218,1942130,1942190,1942408,1961514,1942514,1954118,1940064,1945808,1971064,1969168,1939152,1948094,1943826,1917544,1916304,1935256,1932440,1938898,1942864,1927690,1964752
4000,1937420,1945372,1956714,1937228,1942130,1939174,1942408,1960942,1928388,1954118,1940064,1945808,1971064,1969168,1937014,1948094,1943826,1917544,1905932,1935256,1927836,1937954,1930300,1927690,1964752
4100,1927592,1941914,1954494,1932860,1936690,1934714,1942408,1953726,1928388,1952048,1929098,1945808,1964734,1961254,1932214,1948094,1943826,1917544,1905932,1929578,1927836,1933736,1928686,1920134,1960830
4200,1918402,1938760,1954494,1932860,1936690,1934714,1942408,1953726,1924638,1947662,1929098,1945808,1964734,1961254,1931152,1944966,1941772,1917544,1905150,1929578,1927520,1933736,1928686,1920134,1960578
4300,1918402,1938760,1954494,1932860,1936690,1934714,1940228,1953726,1924638,1947662,1929098,1945808,1964734,1961254,1926556,1944966,1928912,1916878,1905150,1929578,1925140,1933736,1928686,1920134,1954890
4400,1918402,1938760,1954494,1932860,1936690,1934714,1938926,1953726,1924638,1947662,1929098,1945808,1964734,1961254,1926556,1944966,1928912,1903566,1905150,1929578,1925140,1933736,1928686,1920134,1954890
4500,1918402,1938760,1954494,1932860,1936690,1934714,1938926,1953726,1924638,1947662,1929098,1945808,1964734,1961254,1926556,1944966,1928912,1903566,1905150,1929578,1925140,1933736,1928686,1920134,1954890
