FE,Run 1,Run 2,Run 3,Run 4,Run 5,Run 6,Run 7,Run 8,Run 9,Run 10,Run 11,Run 12,Run 13,Run 14,Run 15,Run 16,Run 17,Run 18,Run 19,Run 20,Run 21,Run 22,Run 23,Run 24,Run 25
100,15447126,15408024,15412530,15392664,15424472,15334290,15393866,15382762,15322182,15395910,15270902,15423784,15401114,15395258,15333808,15378376,15285836,15387076,15379830,15315682,15406604,15356560,15432074,15446400,15479036
200,15416258,15378636,15395836,15345478,15328788,15334290,15322290,15382762,15322182,15395910,15270902,15377608,15380318,15395258,15333808,15367124,15285836,15387076,15379830,15315682,15406604,15336378,15403556,15441166,15387258
300,15414774,15378636,15384376,15345478,15328788,15334290,15322290,15382762,15322182,15395910,15270902,15355114,15380318,15382900,15333808,15367124,15285836,15387076,15379830,15315682,15372436,15336378,15353358,15351434,15387258
400,15373550,15330802,15362472,15311444,15328788,15334290,15322290,15382762,15322182,15395910,15270902,15355114,15380318,15382900,15333808,15367124,15285836,15387076,15379830,15315682,15367908,15336378,15353358,15351434,15387258
500,15373550,15329794,15362472,15311444,15328788,15334290,15322290,15273860,15322182,15395910,15270902,15355114,15359952,15302660,15333808,15367124,15285836,15387076,15379830,15315682,15367908,15336378,15353358,15351434,15387258
600,15369140,15329794,15362472,15311444,15328788,15334290,15322290,15273860,15322182,15389990,15270902,15355114,15352690,15276994,15333808,15367124,15285836,15387076,15379830,15315682,15367908,15336378,15353358,15342176,15387258
700,15369140,15329794,15362472,15311444,15328788,15334290,15322290,15273860,15322182,15389990,15270902,15349586,15352690,15276994,15333808,15291954,15285836,15387076,15379830,15312546,15366212,15336378,15268094,15342176,15376540
800,15369140,15329794,15348782,15311444,15328788,15334290,15322290,15273860,15322182,15389506,15270902,15301346,15346116,15276994,15333808,15291954,15285836,15387076,15379830,15312546,15366212,15336378,15268094,15290478,15376540
900,15369140,15329794,15342402,15311444,15301960,15321516,15322290,15273860,15322182,15389506,15270902,15301346,15346116,15276994,15333808,15291954,15285836,15387076,15379830,15312546,15366212,15336378,15268094,15290478,15345300
1000,15369140,15329794,15342402,15311444,15301960,15321516,15313142,15273860,15322182,15311912,15270902,15301346,15346116,15276994,15333808,15291954,15285836,15384978,15379830,15312546,15318326,15336378,15268094,15290478,15345300
1100,15325644,15329794,15342402,15311444,15301960,15321516,15271922,15273860,15322182,15311912,15270902,15292048,15346116,15276994,15333808,15291954,15224336,15384978,15296722,15312546,15318326,15300420,15268094,15290478,15345300
1200,15325644,15329794,15342402,15311444,15301960,15321516,15271922,15273860,15322182,15311912,15249296,15292048,15346116,15276994,15333808,15291954,15224336,15323950,15296722,15312546,15318326,15300420,15268094,15290478,15345300
1300,15325644,15303180,15342402,15311444,15301960,15321516,15271922,15273860,15289726,15311912,15249296,15292048,15346116,15276994,15333808,15291954,15224336,15323950,15296722,15312546,15318326,15300420,15268094,15290478,15340564
1400,15325644,15303180,15332480,15311444,15263222,15321516,15271922,15273860,15289726,15311912,15249296,15292048,15316122,15276994,15333808,15291954,15224336,15323950,15296722,15312546,15318326,15300420,15268094,15290478,15340564
1500,15325644,15303180,15332480,15311444,15263222,15321516,15271922,15273860,15289726,15311912,15249296,15292048,15316122,15276994,15282676,15291954,15224336,15323950,15296722,15312546,15318326,15300420,15268094,15290478,15340564
1600,15325644,15303180,15332480,15311444,15263222,15321516,15271922,15273860,15289726,15311912,15249296,15292048,15316122,15276994,15282676,15291954,15224336,15323950,15296722,15312546,15318326,15300420,15268094,15290478,15340564
1700,15305432,15303180,15332480,15311444,15263222,15321516,15271922,15273860,15289726,15311912,15249296,15292048,15316122,15276994,15282676,15291954,15224336,15323950,15296722,15312546,15318326,15300420,15268094,15290478,15340564
1800,15305432,15303180,15332480,15311444,15263222,15295790,15271922,15273860,15289726,15311912,15249296,15292048,15316122,15276994,15282676,15291954,15224336,15323950,15296722,15312546,15318326,15300420,15268094,15290478,15340564
1900,15305432,15303180,15332480,15311444,15263222,15295790,15271922,15273860,15289726,15311912,15249296,15292048,15316122,15276994,15282676,15291954,15224336,15323950,15296722,15312546,15318326,15300420,15268094,15290478,15325924
2000,15305432,15303180,15332480,15311444,15263222,15295790,15271922,15273860,15289726,15311912,15249296,15292048,15316122,15276994,15282676,15291954,15224336,15323950,15296722,15312546,15318326,15300420,15268094,15290478,15309676
2100,15305432,15303180,15323662,15311444,15263222,15295790,15271922,15273860,15248970,15311912,15249296,15292048,15316122,15276994,15282676,15291954,15224336,15323950,15296722,15281000,15318326,15300420,15268094,15290478,15309676
2200,15305432,15303180,15323662,15311444,15263222,15295790,15271922,15273860,15248970,15311912,15249296,15292048,15316122,15276994,15282676,15291954,15224336,15299690,15296722,15281000,15318326,15300420,15268094,15290478,15309676
2300,15305432,15303180,15323662,15311444,15263222,15263976,15271922,15273860,15248970,15311912,15249296,15292048,15316122,15276994,15282676,15291954,15224336,15299690,15296722,15281000,15318326,15286556,15268094,15290478,15309676
2400,15305432,15303180,15323662,15311444,15263222,15263976,15245722,15273860,15248970,15311912,15249296,15292048,15316122,15276994,15282676,15291954,15224336,15299690,15296722,15281000,15318326,15286556,15268094,15290478,15309676
2500,15305432,15303180,15323662,15311444,15263222,15263976,15245722,15273860,15248970,15311912,15249296,15292048,15303410,15276994,15282676,15291954,15224336,15299690,15296722,15281000,15318326,15286556,15268094,15290478,15309676
2600,15305432,15303180,15323662,15311444,15263222,15263976,15245722,15252980,15248970,15311912,15249296,15292048,15303410,15276994,15282676,15291954,15224336,15299690,15296722,15281000,15318326,15286556,15268094,15290478,15309676
2700,15305432,15303180,15308192,15311444,15263222,15263976,15245722,15252980,15248970,15311912,15249296,15272880,15303410,15276994,15282676,15291954,15224336,15299690,15296722,15281000,15318326,15272518,15268094,15290478,15309676
2800,15305432,15303180,15308192,15311444,15263222,15263976,15245722,15252980,15248970,15311912,15249296,15272880,15303410,15276994,15282676,15291954,15224336,15299690,15296722,15281000,15318326,15272518,15268094,15290478,15309676
2900,15305432,15303180,15308192,15311444,15263222,15263976,15245722,15252980,15248970,15311912,15249296,15272880,15303410,15276994,15282676,15291954,15224336,15299690,15296722,15281000,15318326,15272518,15268094,15290478,15309676
3000,15305432,15303180,15308192,15311444,15263222,15263976,15245722,15252980,15248970,15311912,15249296,15272880,15303410,15276994,15282676,15291954,15224336,15299690,15296722,15281000,15318326,15272518,15268094,15290478,15309676
3100,15305432,15303180,15308192,15311444,15263222,15263976,15245722,15252980,15248970,15311912,15249296,15272880,15303410,15276994,15282676,15291954,15224336,15299690,15296722,15281000,15318326,15272518,15268094,15290478,15309676
3200,15305432,15303180,15308192,15311444,15244724,15263976,15245722,15252980,15248970,15280864,15249296,15272880,15303410,15276994,15213962,15291954,15224336,15299690,15296722,15281000,15310492,15272518,15268094,15290478,15309676
3300,15305432,15303180,15308192,15311444,15244724,15263976,15245722,15252980,15248970,15280864,15249296,15272880,15303410,15276994,15213962,15291954,15224336,15299690,15296722,15281000,15310492,15272518,15268094,15290478,15309676
3400,15305432,15303180,15308192,15311444,15244724,15263976,15245722,15252980,15248970,15280864,15249296,15272880,15303410,15276994,15213962,15291954,15224336,15299690,15296722,15281000,15310492,15272518,15268094,15290478,15309676
3500,15305432,15288720,15308192,15311444,15244724,15263976,15245722,15252980,15248970,15280864,15249296,15272880,15303410,15276994,15213962,15278712,15224336,15299690,15292410,15281000,15310492,15272518,15268094,15290478,15309676
3600,15305432,15288720,15308192,15311444,15244724,15263976,15245722,15252980,15248970,15280864,15249296,15272880,15303410,15276994,15213962,15278712,15224336,15299690,15292410,15281000,15273358,15272518,15268094,15290478,15309676
3700,15305432,15288720,15308192,15311444,15244724,15263976,15245722,15252980,15248970,15280864,15249296,15272880,15303410,15276994,15213962,15278712,15224336,15299690,15292410,15281000,15273358,15272518,15268094,15290478,15309676
3800,15305432,15288720,15308192,15311444,15244724,15263976,15245722,15252980,15248970,15280864,15249296,15272880,15303410,15276994,15213962,15278712,15224336,15299690,15292410,15281000,15273358,15272518,15268094,15290478,15309676
