FE,Run 1,Run 2,Run 3,Run 4,Run 5,Run 6,Run 7,Run 8,Run 9,Run 10,Run 11,Run 12,Run 13,Run 14,Run 15,Run 16,Run 17,Run 18,Run 19,Run 20,Run 21,Run 22,Run 23,Run 24,Run 25
100,8352214,8381964,8371156,8342274,8345662,8298510,8282126,8376506,8339954,8380620,8284516,8293204,8383484,8349566,8323590,8348036,8324560,8347470,8360324,8384060,8358144,8351438,8330120,8317664,8390384
200,8328502,8381964,8342830,8333178,8286918,8298510,8282126,8322690,8290400,8290744,8284516,8293204,8383484,8349566,8323590,8334026,8324560,8347470,8350896,8311920,8356156,8351438,8330120,8317664,8313288
300,8328502,8320770,8342432,8320494,8280388,8298510,8282126,8322690,8290400,8290744,8276576,8293204,8298198,8319304,8323590,8306566,8324560,8347470,8336426,8272844,8356156,8351438,8330120,8228570,8313288
400,8328502,8320770,8342432,8320494,8280388,8298510,8282126,8322690,8247854,8290744,8276576,8293204,8298198,8319304,8323590,8306566,8324560,8337280,8336186,8272844,8342692,8351438,8330120,8228570,8297106
500,8322786,8320770,8342432,8320494,8280388,8298510,8282126,8250528,8247854,8290744,8276576,8293204,8298198,8319304,8318394,8274666,8324560,8337280,8336186,8272844,8328382,8343418,8330120,8228570,8297106
600,8322786,8320770,8222914,8320494,8280388,8298510,8282126,8250528,8247854,8290744,8276576,8293204,8298198,8319304,8318394,8274666,8324560,8303208,8336186,8272844,8328382,8301004,8330120,8228570,8297106
700,8322786,8320770,8222914,8320494,8280388,8298510,8282126,8250528,8247854,8290744,8276576,8293204,8298198,8319304,8318394,8274666,8297184,8299942,8336186,8272844,8328382,8301004,8240778,8228570,8297106
800,8322786,8320770,8222914,8320494,8280388,8278834,8282126,8232942,8247854,8290744,8276576,8293204,8298198,8319304,8318394,8274666,8297184,8299942,8330014,8272844,8328382,8301004,8240778,8228570,8297106
900,8322786,8287540,8222914,8320494,8280388,8278834,8282126,8232942,8247854,8290744,8276576,8293204,8298198,8319304,8318394,8274666,8293066,8299942,8311722,8272844,8328382,8301004,8240778,8228570,8297106
1000,8322786,8287540,8213300,8320494,8280388,8278834,8239136,8232942,8247854,8290744,8276576,8293204,8298198,8319304,8232132,8274666,8293066,8280424,8311722,8272844,8328382,8301004,8240778,8228570,8297106
1100,8322786,8287540,8213300,8320494,8280388,8278834,8239136,8232942,8247854,8290744,8276576,8293204,8298198,8319304,8232132,8274666,8293066,8280424,8311722,8272844,8328382,8301004,8240778,8228570,8297106
1200,8322786,8287540,8213300,8307884,8280388,8263478,8239136,8232942,8247854,8290744,8276576,8293204,8298198,8319304,8232132,8274666,8293066,8280424,8311722,8272844,8316182,8301004,8240778,8228570,8297106
1300,8320482,8268004,8213300,8307884,8280388,8263478,8239136,8232942,8247854,8290744,8276576,8293204,8298198,8305328,8232132,8274666,8293066,8280424,8306722,8272844,8316182,8301004,8240778,8228570,8297106
1400,8248378,8268004,8213300,8307884,8280388,8263478,8239136,8232942,8247854,8273906,8276576,8293204,8298198,8305328,8232132,8274666,8293066,8280424,8306722,8272844,8316182,8301004,8240778,8228570,8297106
1500,8248378,8268004,8213300,8307884,8280388,8263478,8239136,8232942,8247854,8273906,8276576,8293204,8298198,8305328,8232132,8274666,8293066,8280424,8306722,8272844,8316182,8301004,8240778,8228570,8297106
