FE,Run 1,Run 2,Run 3,Run 4,Run 5,Run 6,Run 7,Run 8,Run 9,Run 10,Run 11,Run 12,Run 13,Run 14,Run 15,Run 16,Run 17,Run 18,Run 19,Run 20,Run 21,Run 22,Run 23,Run 24,Run 25
100,15404194,15330386,15333298,15363296,15344362,15389730,15379498,15410094,15372852,15376378,15360680,15409256,15348546,15379738,15287486,15416750,15393410,15415436,15410546,15330888,15344144,15373148,15403142,15327330,15450988
200,15401114,15238448,15333298,15308902,15344362,15315264,15376812,15381806,15368258,15376378,15360680,15409256,15348546,15379738,15287486,15384082,15348014,15410606,15344884,15330888,15316016,15373148,15312706,15292326,15402906
300,15263348,15238448,15333298,15308902,15327704,15315264,15376812,15381806,15347224,15358522,15360680,15383064,15348546,15329804,15287486,15384082,15268414,15380314,15344884,15330888,15276974,15373148,15312706,15292326,15269538
400,15263348,15238448,15333298,15308902,15327704,15315264,15376812,15381806,15328438,15358522,15360680,15361814,15348546,15329804,15287486,15319306,15268414,15370610,15344884,15330888,15276974,15373148,15312706,15224198,15269538
500,15263348,15238448,15333298,15308902,15327704,15315264,15373494,15381806,15285314,15330332,15360680,15361814,15348546,15321032,15287486,15319306,15268414,15370610,15339520,15330888,15276974,15306812,15312706,15224198,15269538
600,15263348,15238448,15333298,15308902,15327704,15315264,15373494,15378836,15285314,15330332,15353470,15361814,15348546,15321032,15287486,15319306,15268414,15301360,15339520,15330888,15276974,15306812,15312706,15224198,15269538
700,15263348,15238448,15333298,15308902,15318610,15315264,15333050,15378836,15285314,15330332,15353470,15361814,15348546,15321032,15287486,15319306,15268414,15301360,15339520,15330888,15276974,15306812,15312706,15224198,15269538
800,15263348,15238448,15333298,15308902,15318610,15315264,15309326,15378836,15285314,15330332,15336288,15357618,15348546,15321032,15287486,15319306,15268414,15301360,15207234,15330888,15276974,15306812,15312706,15224198,15264408
900,15263348,15238448,15333298,15308902,15318610,15307684,15309326,15336584,15285314,15330332,15336288,15357618,15348546,15321032,15287486,15319306,15268414,15301360,15207234,15330888,15276974,15241982,15312706,15224198,15264408
1000,15263348,15238448,15333298,15308902,15303550,15304814,15300120,15336584,15285314,15330332,15336288,15357618,15287118,15319678,15287486,15319306,15268414,15301360,15207234,15330888,15276974,15241982,15312706,15224198,15264408
1100,15263348,15238448,15303216,15308902,15303550,15304814,15300120,15336584,15285314,15330332,15336288,15333386,15287118,15319678,15287486,15307786,15268414,15301360,15207234,15330888,15276974,15241982,15312706,15224198,15264408
1200,15263348,15238448,15303216,15303402,15303550,15304814,15300120,15336584,15285314,15330332,15336288,15333386,15287118,15319678,15287486,15307786,15268414,15301360,15207234,15315970,15276974,15241982,15312706,15224198,15264408
1300,15263348,15238448,15303216,15303402,15303550,15304814,15300120,15336584,15285314,15235242,15324722,15333386,15287118,15319678,15206582,15307786,15268414,15301360,15207234,15315970,15276974,15241982,15312706,15224198,15264032
1400,15263348,15238448,15284216,15303402,15303550,15297696,15300120,15336584,15285314,15235242,15324722,15325012,15287118,15284256,15206582,15307786,15268414,15301360,15207234,15315970,15276974,15241982,15312706,15224198,15264032
1500,15263348,15238448,15284216,15303402,15303550,15275882,15300120,15315202,15285314,15147678,15324722,15325012,15287118,15284256,15206582,15307786,15268414,15301360,15207234,15315970,15276974,15241982,15310268,15224198,15264032
1600,15263348,15238448,15284216,15303402,15303550,15275882,15300120,15315202,15285314,15147678,15278370,15314342,15287118,15284256,15206582,15307786,15268414,15301360,15207234,15315970,15276974,15241982,15310268,15224198,15264032
1700,15263348,15238448,15284216,15282984,15303550,15275882,15257606,15313708,15285314,15147678,15162774,15314342,15269448,15284256,15206582,15307786,15268414,15301360,15207234,15315970,15276974,15241982,15304672,15224198,15234336
1800,15263348,15238448,15284216,15282984,15303550,15275882,15257606,15313708,15285314,15147678,15162774,15314342,15269448,15284256,15206582,15307786,15268414,15301360,15207234,15302776,15276974,15241982,15304672,15224198,15233508
1900,15263348,15238448,15236940,15282984,15303550,15275882,15257606,15313708,15285314,15147678,15162774,15314342,15269448,15284256,15206582,15307786,15268414,15301360,15207234,15302776,15276974,15241982,15304672,15224198,15233508
2000,15263348,15238448,15236940,15282984,15303550,15275882,15257606,15313708,15285314,15147678,15162774,15314342,15269448,15259770,15206582,15307786,15268414,15301360,15207234,15302776,15276974,15241982,15304508,15224198,15233508
2100,15263348,15238448,15236940,15282984,15303550,15275882,15257606,15313708,15285314,15147678,15162774,15314342,15269448,15259770,15206582,15307786,15268414,15301360,15207234,15302776,15276974,15241982,15298148,15224198,15233508
2200,15263348,15238448,15236940,15282984,15303550,15275882,15257606,15313708,15285314,15147678,15162774,15314342,15269448,15259770,15206582,15307786,15264472,15301360,15207234,15302776,15276974,15241982,15298148,15224198,15233508
2300,15263348,15238448,15236940,15282984,15303550,15275882,15257606,15313708,15285314,15147678,15162774,15314342,15269448,15259770,15206582,15306758,15264472,15301360,15207234,15223732,15254480,15241982,15291174,15224198,15233508
2400,15263348,15220526,15236940,15282984,15303550,15275882,15232470,15313708,15285314,15147678,15162774,15308602,15249986,15259770,15206582,15306758,15264472,15301360,15207234,15223732,15254480,15241982,15291174,15224198,15233508
2500,15263348,15220526,15236940,15282984,15303550,15275882,15232470,15313708,15285314,15147678,15162774,15308602,15249986,15219756,15206582,15306758,15264472,15301360,15207234,15223732,15254480,15241982,15291174,15224198,15233508
