FE,Run 1,Run 2,Run 3,Run 4,Run 5,Run 6,Run 7,Run 8,Run 9,Run 10,Run 11,Run 12,Run 13,Run 14,Run 15,Run 16,Run 17,Run 18,Run 19,Run 20,Run 21,Run 22,Run 23,Run 24,Run 25
100,8323222,8376802,8322556,8269340,8366698,8354476,8264874,8279344,8366890,8281200,8276994,8327760,8346274,8327528,8364196,8392842,8319816,8290986,8360224,8394702,8309130,8359682,8317006,8325324,8373678
200,8296684,8376802,8322556,8269340,8363944,8354476,8239410,8263844,8362004,8257602,8276994,8280168,8346274,8324500,8327058,8379612,8317328,8290986,8360224,8359242,8283506,8327220,8288370,8309960,8362308
300,8296684,8339876,8320402,8269340,8355434,8354476,8239410,8263844,8362004,8240126,8267614,8275462,8310410,8324500,8327058,8356364,8314616,8290986,8339292,8359242,8283506,8311374,8288370,8309960,8362308
400,8296684,8339876,8284324,8269340,8346214,8354476,8239410,8263844,8362004,8240126,8267614,8275462,8310410,8314924,8327058,8356364,8306332,8290986,8339292,8357760,8283506,8311374,8288370,8309960,8362308
500,8296684,8339876,8284324,8269340,8346214,8354476,8239410,8263844,8362004,8240126,8267614,8266386,8310410,8285862,8318102,8356364,8285376,8290986,8339292,8352220,8283506,8311374,8288370,8309960,8324674
600,8296684,8339876,8284324,8269340,8346214,8354082,8239410,8263844,8362004,8240126,8254114,8266002,8310410,8285862,8318102,8356364,8285376,8290986,8339292,8352220,8283506,8311374,8288370,8287520,8324674
700,8296684,8339876,8284324,8269340,8343328,8354082,8239410,8263844,8362004,8240126,8254114,8266002,8310410,8285862,8312586,8356364,8285376,8290986,8339292,8343672,8283506,8311374,8288370,8287520,8324674
800,8296684,8339876,8284324,8269340,8343328,8354082,8239410,8263844,8326772,8240126,8254114,8266002,8310410,8285862,8307618,8355934,8285376,8281878,8339292,8343672,8283506,8311374,8288370,8287520,8324674
900,8296684,8339876,8284324,8264804,8343328,8354082,8231192,8263844,8326772,8240126,8254114,8266002,8310410,8285862,8307618,8355934,8285376,8281878,8339292,8337310,8283506,8304682,8288370,8287520,8324674
1000,8296684,8339876,8284324,8264804,8343328,8342792,8231192,8257834,8326772,8240126,8254114,8264728,8310410,8285862,8305628,8355934,8285376,8281878,8339292,8337310,8283506,8304682,8272946,8287520,8324674
1100,8296684,8339876,8284324,8264804,8343328,8342792,8231192,8257834,8326772,8240126,8254114,8264728,8310410,8285862,8305628,8355934,8285376,8281878,8339292,8335672,8269228,8304682,8272946,8287520,8324674
1200,8296684,8339876,8284324,8255492,8343328,8342792,8231192,8257834,8326772,8240126,8254114,8264728,8310410,8285862,8305628,8355934,8285376,8281878,8334738,8335672,8269228,8304682,8272946,8287520,8324674
1300,8296684,8339876,8284324,8241940,8343328,8342792,8231192,8257834,8326772,8240126,8254114,8264728,8310410,8285862,8305628,8355934,8285376,8281878,8334738,8335672,8269228,8304682,8272946,8287520,8324674
1400,8296684,8339876,8284324,8241940,8343328,8342792,8231192,8257834,8326772,8240126,8254114,8264728,8310410,8285862,8305628,8355934,8285376,8281878,8334738,8335672,8269228,8304682,8272946,8287520,8324674
1500,8296684,8339876,8284324,8241940,8343328,8342792,8231192,8257834,8326772,8230686,8254114,8264728,8310410,8285862,8305628,8355934,8285376,8281878,8334738,8335672,8269228,8304682,8272946,8287520,8324674
1600,8296684,8339876,8284324,8241940,8338318,8342792,8231192,8257834,8326772,8230686,8254114,8264728,8310410,8285862,8305628,8355934,8268952,8281878,8334738,8335672,8269228,8304682,8272946,8287520,8324674
1700,8296684,8339876,8284324,8241940,8338318,8342792,8231192,8257834,8326772,8230686,8254114,8264728,8310410,8285862,8305628,8355934,8268952,8281878,8334738,8335672,8269228,8304682,8272946,8287520,8324674
1800,8296684,8339876,8284324,8241940,8338318,8342792,8231192,8257834,8326772,8230686,8254114,8264728,8310410,8285862,8305628,8355934,8268952,8273284,8334738,8335672,8269228,8304682,8272946,8287520,8324674
1900,8231634,8305154,8246560,8186998,8302486,8292360,8187080,8209388,8285830,8188448,8212684,8247564,8271458,8245042,8290690,8319442,8227976,8205904,8292298,8298428,8205150,8288748,8244668,8249788,8299456
2000,8231634,8300406,8242676,8186998,8283904,8292360,8180640,8209388,8285830,8171402,8207546,8223580,8271458,8245042,8255630,8288866,8227976,8205904,8292298,8291038,8205150,8261464,8236112,8249788,8290192
2100,8231634,8299062,8239268,8186998,8282358,8292360,8180640,8209388,8285830,8171402,8205820,8213924,8271458,8245042,8250798,8288866,8227976,8205904,8283608,8291038,8205150,8247504,8236112,8249788,8290192
2200,8231634,8299062,8239268,8186998,8282358,8292360,8180640,8209388,8285830,8171402,8203722,8211398,8271458,8245042,8250798,8288866,8227976,8205904,8283608,8287386,8205150,8241158,8235948,8249788,8269080
2300,8231634,8288228,8239268,8186998,8282358,8292360,8180640,8209388,8285830,8171402,8203722,8211398,8269796,8245042,8241820,8288866,8212784,8205904,8283608,8287386,8205150,8241158,8235948,8249788,8269080
