FE,Run 1,Run 2,Run 3,Run 4,Run 5,Run 6,Run 7,Run 8,Run 9,Run 10,Run 11,Run 12,Run 13,Run 14,Run 15,Run 16,Run 17,Run 18,Run 19,Run 20,Run 21,Run 22,Run 23,Run 24,Run 25
100,15474320,15362722,15362976,15353672,15356764,15361684,15338644,15318890,15399572,15296082,15355548,15427632,15417528,15370636,15347198,15371464,15412236,15349560,15389818,15408036,15352406,15371880,15395130,15306160,15375828
200,15422286,15348974,15350526,15353672,15356252,15361684,15328552,15318890,15383236,15272558,15337724,15427632,15392798,15321056,15326112,15368066,15412236,15341204,15383492,15388228,15352406,15354446,15368682,15300524,15366236
300,15422286,15323318,15344522,15353672,15344298,15345796,15324900,15290502,15346922,15272558,15337724,15417862,15392798,15321056,15326112,15368066,15390950,15341204,15381632,15388228,15352406,15354446,15366364,15296320,15366236
400,15422286,15323318,15344522,15345640,15344298,15345796,15324900,15290502,15346922,15272558,15308690,15417862,15392798,15321056,15306228,15347654,15390950,15341204,15365756,15381138,15349586,15344460,15366364,15270806,15366236
500,15422286,15323318,15344522,15345640,15330864,15334188,15295268,15290502,15346922,15272558,15308690,15417862,15392798,15309644,15303904,15347654,15390950,15341204,15365756,15381138,15349586,15344460,15366364,15270806,15354562
600,15417358,15323318,15344522,15345640,15318844,15334188,15295268,15290502,15337666,15269586,15306612,15406370,15392798,15291240,15303904,15347654,15390950,15341204,15365756,15381138,15317374,15342720,15366364,15270806,15354562
700,15417358,15323318,15344522,15345640,15318844,15334188,15295268,15290502,15337666,15269586,15306612,15397360,15392798,15291240,15303904,15347654,15389290,15341204,15354856,15343390,15317374,15339798,15366364,15270806,15354562
800,15417358,15323318,15329836,15345640,15318844,15334188,15295268,15290502,15337666,15269586,15306612,15397360,15392798,15291240,15303904,15347654,15389290,15341204,15354856,15343390,15317374,15339798,15366364,15270806,15354562
900,15417194,15323318,15329836,15345640,15318844,15334188,15295268,15290502,15337666,15258426,15306612,15397360,15392798,15291240,15303904,15346474,15389290,15341204,15354856,15343390,15317374,15339798,15366364,15270806,15354562
1000,15417194,15323318,15329836,15345640,15318844,15330382,15295268,15290502,15337666,15258426,15306612,15397360,15392798,15291240,15303904,15346474,15389290,15341204,15354856,15343390,15317374,15339798,15366364,15270806,15354562
1100,15417194,15323318,15329836,15345640,15318844,15330382,15295268,15290502,15337666,15258426,15306612,15397360,15361126,15291240,15303904,15346474,15389290,15341204,15354856,15343390,15317374,15329950,15366364,15270806,15354562
1200,15417194,15323318,15329836,15345640,15318844,15330382,15295268,15290502,15337666,15258426,15306612,15397360,15361126,15291240,15303904,15346474,15386238,15341204,15354856,15343390,15317374,15322630,15358300,15270806,15339556
1300,15417194,15323318,15329836,15337326,15318844,15328252,15295268,15290502,15337666,15258426,15306612,15388350,15361126,15291240,15303904,15346474,15386238,15341204,15354856,15343390,15317374,15322630,15358300,15245602,15339556
1400,15417194,15323318,15329836,15336696,15318844,15328252,15295268,15290502,15337666,15258426,15306612,15388350,15361126,15291240,15303904,15346474,15386238,15341204,15354856,15343390,15317374,15322630,15358300,15245602,15339556
1500,15417194,15323318,15329836,15326808,15318844,15328252,15295268,15290502,15337666,15258426,15306612,15388350,15361126,15291240,15303904,15346474,15386238,15341204,15354856,15343390,15317374,15305372,15358300,15245602,15334644
1600,15406914,15323318,15326772,15326808,15318844,15316846,15295268,15290502,15337666,15258426,15306612,15388350,15361126,15291240,15303904,15346474,15386238,15339492,15354856,15343390,15317374,15305372,15358300,15245602,15334644
1700,15398504,15323318,15326772,15326808,15318844,15316846,15295268,15290502,15337666,15258426,15306612,15388350,15361126,15291240,15303904,15346474,15370614,15339492,15354856,15343390,15317374,15305372,15358300,15245602,15334644
1800,15398504,15309686,15326772,15326808,15318844,15299650,15295268,15290502,15337666,15258426,15306612,15388350,15361126,15291240,15303904,15346474,15370614,15307522,15354856,15343390,15317374,15305372,15358300,15245602,15334644
1900,15398504,15309686,15326772,15326808,15318844,15299650,15295268,15290502,15337666,15258426,15306612,15388350,15361126,15291240,15292900,15346474,15370614,15307522,15354856,15343390,15317374,15305372,15358300,15245602,15334644
2000,15398504,15309686,15326772,15326808,15318844,15299650,15295268,15290502,15337666,15258426,15306612,15388350,15361126,15291240,15292900,15346474,15370614,15307522,15354856,15343390,15317374,15305372,15358300,15245602,15334644
2100,15398504,15296944,15326772,15326808,15318844,15299650,15295268,15290502,15337666,15258426,15306612,15388202,15361126,15291240,15292900,15346474,15370614,15307522,15354856,15343390,15317374,15305372,15358300,15245602,15334644
2200,15398504,15296944,15326772,15326808,15318844,15299650,15295268,15290502,15337666,15258426,15306612,15385032,15361126,15291240,15292900,15346474,15370614,15307522,15354856,15343390,15317374,15305372,15358300,15245602,15334644
2300,15398504,15296944,15326772,15326808,15318844,15299650,15295268,15290502,15337666,15258426,15306612,15385032,15361126,15291240,15292900,15346474,15370614,15307522,15354856,15343390,15317374,15305372,15358300,15245602,15334644
2400,15398504,15296944,15326772,15326808,15318844,15299650,15295268,15290502,15337666,15258426,15306612,15385032,15361126,15291240,15292900,15344656,15370614,15307522,15352114,15343390,15317374,15305372,15358300,15245602,15334644
2500,15398504,15296944,15326772,15314944,15318844,15299650,15295268,15290502,15337666,15258426,15306612,15385032,15361126,15291240,15292900,15344656,15370614,15307522,15352114,15343390,15317374,15305372,15358300,15245602,15334644
2600,15398504,15296944,15326772,15314944,15318844,15299650,15295268,15290502,15337666,15258426,15306612,15385032,15361126,15291240,15292900,15344656,15370614,15307522,15352114,15343390,15317374,15305372,15358300,15245602,15334644
2700,15398504,15296944,15326772,15314944,15318844,15299650,15295268,15284766,15336026,15258426,15306612,15385032,15361126,15291240,15292900,15344656,15370614,15307522,15352114,15343390,15317374,15305372,15358300,15245602,15334644
2800,15398504,15296944,15326772,15314944,15318844,15299650,15295268,15256934,15336026,15258426,15306612,15385032,15361126,15291240,15292900,15344656,15370614,15307522,15352114,15343390,15317374,15305372,15358300,15245602,15334644
2900,15398504,15289784,15326772,15314944,15318844,15299650,15295268,15256934,15336026,15258426,15306612,15385032,15361126,15291240,15292900,15344656,15370614,15307522,15352114,15343390,15317374,15305372,15358300,15245602,15334644
3000,15398504,15289784,15326772,15314944,15318844,15299650,15295268,15256934,15336026,15258426,15306612,15385032,15361126,15291240,15292900,15344656,15370614,15307522,15334218,15343390,15317374,15305372,15358300,15245602,15334644
3100,15398504,15289784,15326772,15314944,15318844,15299650,15295268,15256934,15336026,15258426,15306612,15385032,15361126,15291240,15292900,15344656,15370614,15307522,15334218,15343390,15317374,15305372,15358300,15245602,15334644
3200,15398504,15289784,15326772,15314944,15318844,15299650,15295268,15256934,15336026,15258426,15306612,15385032,15361126,15291240,15292900,15344656,15370614,15307522,15334218,15343390,15317374,15305372,15342264,15245602,15334644
3300,15344508,15235142,15267880,15270626,15278758,15273954,15220758,15215870,15315472,15200142,15266578,15338252,15308860,15245674,15234994,15290406,15328952,15248302,15277534,15304494,15268076,15274140,15298592,15196098,15278416
3400,15327020,15230658,15267880,15270626,15276588,15248612,15220758,15202798,15285604,15200142,15249674,15333728,15289094,15208590,15234994,15290406,15322486,15248302,15277534,15292628,15268076,15261102,15271772,15196098,15278416
3500,15327020,15212476,15260284,15270626,15263696,15248612,15220758,15178962,15272260,15200142,15249674,15333728,15289094,15208590,15234994,15290406,15301278,15248302,15277534,15282444,15268076,15246092,15271772,15196098,15278416
3600,15327020,15212476,15260284,15260236,15263696,15248612,15220758,15178962,15272260,15200142,15249674,15333728,15289094,15208590,15200518,15274066,15301278,15248302,15261968,15282444,15263048,15246092,15271772,15167894,15268870
3700,15327020,15212476,15260284,15257478,15263696,15245140,15220758,15178962,15269264,15200142,15249674,15319084,15289094,15208590,15200518,15267556,15301278,15248302,15261968,15282444,15263048,15246092,15271772,15167894,15268870
