Problem,Run 1,Run 2,Run 3,Run 4,Run 5,Run 6,Run 7,Run 8,Run 9,Run 10,Run 11,Run 12,Run 13,Run 14,Run 15,Run 16,Run 17,Run 18,Run 19,Run 20,Run 21,Run 22,Run 23,Run 24,Run 25
tai15a,425044,421988,445570,421770,423056,423456,423954,434188,417778,413830,415842,425476,420342,430860,426874,422888,422150,438712,415174,434958,428326,425422,428740,428990,413906
tai30a,2037142,1999812,2000544,1977436,2035148,2000090,2033928,2021208,1992982,1983624,2013682,2017662,2021036,1985006,2001472,2005726,2006004,1991000,1995578,2015574,2005742,1995174,2017222,1998954,2041122
tai60a,8032824,7993374,7939306,7898894,8017184,7994892,7887102,7985276,8036528,8009030,7980564,8004722,8000762,7958560,7871020,7938322,8064660,8032360,7918212,8006534,8014064,7968310,8012666,8006692,7991968
tai80a,14915256,14803080,14806610,14834992,14892398,14846506,14838504,14740074,14848010,14870496,14751022,14793940,14948092,14888154,14805060,14846600,14895392,14812396,14842018,14827076,14783514,14854890,14916474,14930502,14962744
