Problem,Min,Max,Mean,Median,Std
tai15a,393052,419670,406085.12,405592,6926.639831837657
tai30a,1897676,1957314,1930904.24,1929406,15665.394721274448
tai60a,7766138,7921338,7845027.2,7837530,35822.5776245466
tai80a,14588386,14781296,14690794.32,14689464,48900.940685157926
