Problem,Min,Max,Mean,Median,Std
tai15a,401976,424514,413616.72,413590,5360.089796511497
tai30a,1947382,2028822,1982251.92,1983022,18903.97551204508
tai60a,7859442,7979938,7939368.08,7959608,35318.77226763882
tai80a,14652414,14910352,14786301.36,14788872,60050.45329198884
